finess;Raison_sociale;Enquete_obligatoire;Participation;Resultat_doc;doc_c_den_etbt;doc_c_etbt;doc_c_icbas_etbt;doc_c_ichaut_etbt;doc_c_pos_seuil_etbt;doc_c_pos_evol_etbt;Resultat_dtn;dtn2_c2_den_etbt;dtn2_c2_etbt;dtn2_c2_icbas_etbt;dtn2_c2_ichaut_etbt;dtn2_c2_pos_seuil_etbt;dtn2_c2_pos_evol_etbt;Lib_reg
290000975;CHM DE ROSCOFF SITE DE PERHARIDY;Oui;Oui;ES non contrôlé;80;13.75;7;23;C;;ES non contrôlé;80;87.5;78;94;B;Stable;Bretagne
290000983;CHM DE ROSCOFF SITE ST LUC;Oui;Oui;ES non contrôlé;80;5;1;12;C;;ES non contrôlé;80;93.75;86;98;A;Stable;Bretagne
290002344;CENTRE CONVALESCENCE JEAN TANGUY ST YVI;Oui;Oui;ES non contrôlé;80;57.5;46;69;C;;ES non contrôlé;80;95;88;99;A;Stable;Bretagne
290003953;CTRE REED FONCT DE TREBOUL;Oui;Oui;ES non contrôlé;80;31.25;21;43;C;;ES non contrôlé;80;85;75;92;B;Stable;Bretagne
290007905;MEACS CROZON;Non;Oui;ES non contrôlé;77;0;0;0;C;;ES non contrôlé;0;;;;;;Bretagne
290020700;CENTRE HOSPITALIER INTERCOMMUNAL DE CORNOUAILLE QU;Oui;Oui;ES non contrôlé;80;55;43;66;C;;ES non contrôlé;80;80;70;88;B;Stable;Bretagne
290021542;CENTRE HOSPITALIER DES PAYS DE MORLAIX;Oui;Oui;ES non contrôlé;79;29.11;19;40;C;;ES non contrôlé;80;86.25;77;93;B;Stable;Bretagne
2A0000014;CENTRE HOSPITALIER GAL D'AJACCIO;Oui;Oui;ES non contrôlé;56;89.29;78;96;B;;ES non contrôlé;79;100;100;100;A;Positive;Corse
2A0000030;CRF ET MAISON REPOS FINOSELLO;Oui;Oui;ES non contrôlé;80;52.5;41;64;C;;ES non contrôlé;80;87.5;78;94;B;Stable;Corse
2A0000170;HOPITAL LOCAL BONIFACIO;Oui;Oui;ES non contrôlé;50;0;0;0;C;;ES non contrôlé;50;80;66;90;B;Positive;Corse
2A0000386;C.H.S. DE CASTELLUCCIO;Non;Oui;ES non contrôlé;22;0;0;0;C;;ES non contrôlé;26;57.69;37;77;C;Positive;Corse
2A0002051;CENTE REED.FONCT. LES MOLINI;Oui;Oui;ES non contrôlé;80;62.5;51;73;C;;ES non contrôlé;80;97.5;91;99;A;Stable;Corse
2A0022554;MAIS.CONVAL.ET REGIME VALICELLI;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;100;100;100;A;Stable;Corse
2B0000020;CENTRE HOSPITALIER BASTIA;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;85;75;92;B;Non Calculable;Corse
2B0000400;MAISON DE CONVALES.LA PALMOLA;Oui;Oui;ES non contrôlé;71;94.37;86;99;A;;ES non contrôlé;73;60.27;48;72;C;Positive;Corse
2B0004246;C.H INTERCOMMUNAL DE CORTÉ-TATTONE;Oui;Oui;ES non contrôlé;38;0;0;0;C;;ES non contrôlé;43;90.7;78;98;B;Positive;Corse
2B0005664;CLINIQUE DE TOGA;Oui;Oui;ES non contrôlé;79;10.13;4;19;C;;ES non contrôlé;80;97.5;91;99;A;Non Calculable;Corse
300002169;CENTRE SOINS DE SUITE LES CADIÈRES;Oui;Oui;Recueil Validé;80;88.75;80;95;B;;Recueil Validé;80;100;100;100;A;Stable;Occitanie
300012358;CENTRE MEDICAL DE L'EGREGORE UGECAM;Oui;Oui;ES non contrôlé;80;82.5;72;90;B;;ES non contrôlé;80;97.5;91;99;A;Non Calculable;Occitanie
300014040;GCS SSR POLYCLINIQUE LA GARAUD;Oui;Oui;Recueil Validé;80;38.75;28;50;C;;Recueil Validé;80;83.75;74;91;B;Positive;Occitanie
300017423;CENTRE MEDICAL DE L'EGREGORE AUDAVIE;Oui;Oui;ES non contrôlé;80;0;0;0;C;;ES non contrôlé;80;63.75;52;74;C;Non Calculable;Occitanie
300780038;CHU NIMES;Oui;Oui;ES non contrôlé;80;60;48;71;C;;ES non contrôlé;80;90;81;96;A;Positive;Occitanie
300780046;CH ALES;Oui;Oui;ES non contrôlé;80;72.5;61;82;B;;ES non contrôlé;80;52.5;41;64;C;Positive;Occitanie
300780079;HL PONT SAINT ESPRIT;Oui;Oui;ES non contrôlé;80;77.5;67;86;B;;ES non contrôlé;80;87.5;78;94;B;Stable;Occitanie
300780087;HL UZES;Oui;Oui;ES non contrôlé;80;67.5;56;78;C;;ES non contrôlé;80;81.25;71;89;B;Stable;Occitanie
300780095;HL LE VIGAN;Oui;Oui;ES non contrôlé;80;86.25;77;93;B;;ES non contrôlé;80;63.75;52;74;C;Négative;Occitanie
300780111;MAISON DE SANTE LA POMAREDE;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;100;100;100;A;Stable;Occitanie
300780285;CLINIQUE VALDEGOUR;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;98.75;93;99;A;Positive;Occitanie
300780442;MAISON DE REPOS LES CHATAIGNIERS;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;97.5;91;99;A;Positive;Occitanie
300780491;MAIS REPOS CONV LES OLIVIERS;Oui;Oui;ES non contrôlé;80;51.25;40;63;C;;ES non contrôlé;80;41.25;30;53;C;Négative;Occitanie
300781010;CH PONTEILS;Oui;Oui;ES non contrôlé;80;32.5;22;44;C;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
300781440;MAISON CONV DOMAINE DU CROS;Oui;Oui;ES non contrôlé;80;73.75;63;83;B;;ES non contrôlé;80;95;88;99;A;Stable;Occitanie
300786274;A.R.A.M.A.V.;Non;Oui;ES non contrôlé;3;66.67;;;Effectif < 10;;ES non contrôlé;3;66.67;;;Effectif < 10;Non Calculable;Occitanie
310020938;CLINIQUE DE QUINT FONSEGRIVES;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;65;53;75;C;Stable;Occitanie
310021571;CENTRE GERIATRIQUE DES MINIMES;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;100;100;100;A;Positive;Occitanie
310023007;CLINIQUE LA RECOUVRANCE;Oui;Oui;ES non contrôlé;80;55;43;66;C;;ES non contrôlé;80;100;100;100;A;Non Calculable;Occitanie
310180013;HOPITAUX DE LUCHON;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;73.75;63;83;B;Positive;Occitanie
310780150;CLINIQUE MEDIPOLE GARONNE;Oui;Oui;ES non contrôlé;71;94.37;86;99;A;;ES non contrôlé;71;87.32;77;94;B;Positive;Occitanie
310780234;SA  CLINIQUE DU CABIROL;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;70;59;80;B;Négative;Occitanie
310780366;CLINIQUE MONIE;Oui;Oui;Recueil Validé;80;98.75;93;99;A;;Recueil Validé;80;87.5;78;94;B;Positive;Occitanie
310780374;CHATEAU DE VERNHES;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;100;100;100;A;Stable;Occitanie
310780671;CH SAINT-GAUDENS;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
310780713;HOPITAL REVEL;Oui;Oui;Recueil Validé;80;93.75;86;98;A;;Recueil Validé;80;87.5;78;94;B;Stable;Occitanie
310781125;SA CLINIQUE SAINT-ROCH;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;81.25;71;89;B;Stable;Occitanie
310781174;SA CENTRE CONVALESCENCE MONTVERT;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;80;70;88;B;Positive;Occitanie
310781406;CHR TOULOUSE;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;85;75;92;B;Négative;Occitanie
310781422;CENTRE PAUL DOTTIN;Oui;Oui;ES non contrôlé;80;25;16;36;C;;ES non contrôlé;4;75;;;Effectif < 10;Non Calculable;Occitanie
310781695;CLINIQUE DE LAGARDELLE;Oui;Oui;ES non contrôlé;80;37.5;27;49;C;;ES non contrôlé;80;76.25;65;85;B;Positive;Occitanie
310781984;CLINIQUES DU MIDI VERDAICH;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;95;88;99;A;Stable;Occitanie
310782396;MRC LE VAL DES CYGNES;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;82.5;72;90;B;Positive;Occitanie
310784830;C.R.F  LES CEDRES;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;90;81;96;A;Stable;Occitanie
310786256;HOPITAL LOCAL DE MURET;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;75;64;84;B;Négative;Occitanie
310786389;CLINIQUE DES PYRENEES;Oui;Oui;ES non contrôlé;80;85;75;92;B;;ES non contrôlé;80;88.75;80;95;B;Stable;Occitanie
310786702;SSR DOMAINE DE LA CADENE;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;98.75;93;99;A;Positive;Occitanie
310790472;CLINIQUE SAINT ORENS;Oui;Oui;ES non contrôlé;80;56.25;45;67;C;;ES non contrôlé;80;100;100;100;A;Positive;Occitanie
310792635;MRC LE MARQUISAT;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;77.5;67;86;B;Stable;Occitanie
310793617;M.R.C. SAINTE MARIE;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;75;64;84;B;Négative;Occitanie
320004310;ETABLISSEMENT PUBLIC DE SANTE DE LOMAGNE;Oui;Oui;ES non contrôlé;80;2.5;0;9;C;;ES non contrôlé;80;87.5;78;94;B;Stable;Occitanie
320780117;CH AUCH;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;83.75;74;91;B;Négative;Occitanie
320780133;CH CONDOM;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;97.5;91;99;A;Positive;Occitanie
320780158;HOPITAL GIMONT;Oui;Oui;ES non contrôlé;80;51.25;40;63;C;;ES non contrôlé;68;76.47;65;86;B;Stable;Occitanie
320780174;HOPITAL LOMBEZ;Oui;Oui;ES non contrôlé;80;83.75;74;91;B;;ES non contrôlé;80;96.25;89;99;A;Stable;Occitanie
320780182;HOPITAL MAUVEZIN;Oui;Oui;ES non contrôlé;66;19.7;11;31;C;;ES non contrôlé;66;53.03;40;65;C;Stable;Occitanie
320780190;CENTRE HOSPITALIER DE MIRANDE;Oui;Oui;ES non contrôlé;67;94.03;85;99;A;;ES non contrôlé;64;76.56;64;86;B;Stable;Occitanie
320780208;HOPITAL NOGARO;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;90;81;96;A;Positive;Occitanie
320780216;HOPITAL VIC-FEZENSAC;Oui;Oui;ES non contrôlé;74;39.19;28;51;C;;ES non contrôlé;72;68.06;56;79;C;Stable;Occitanie
320780323;C.R.F. DE ROQUETAILLADE;Non;Oui;ES non contrôlé;21;47.62;26;70;C;;ES non contrôlé;2;50;;;Effectif < 10;Non Calculable;Occitanie
320784333;CRF  SAINT - BLANCARD;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;98.75;93;99;A;Stable;Occitanie
330000217;MAISON SANTE MARIE GALENE;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;97.5;91;99;A;Stable;Nouvelle Aquitaine
330000340;M.S.P.B. BAGATELLE;Oui;Oui;ES non contrôlé;40;47.5;31;64;C;;ES non contrôlé;46;95.65;85;99;A;Stable;Nouvelle Aquitaine
330024928;CENTRE DE REEDUCATION AVICENNE;Oui;Oui;ES non contrôlé;80;65;53;75;C;;ES non contrôlé;80;98.75;93;99;A;Positive;Nouvelle Aquitaine
330027509;CH SUD GIRONDE LANGON-LA REOLE;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;96.25;89;99;A;Stable;Nouvelle Aquitaine
330057654;LES FLOTS;Oui;Oui;ES non contrôlé;80;1.25;0;7;C;;ES non contrôlé;80;51.25;40;63;C;Négative;Nouvelle Aquitaine
330780206;CLINIQUE D'ARCACHON;Oui;Oui;ES non contrôlé;80;48.75;37;60;C;;ES non contrôlé;80;92.5;84;97;A;Stable;Nouvelle Aquitaine
330780354;POLYCLINIQUE BORDEAUX CAUDERAN;Oui;Oui;ES non contrôlé;45;95.56;85;99;A;;ES non contrôlé;32;87.5;71;97;B;Non Calculable;Nouvelle Aquitaine
330780370;FONTAINES DE MONJOUS;Oui;Oui;Recueil Validé;80;97.5;91;99;A;;Recueil Validé;80;88.75;80;95;B;Stable;Nouvelle Aquitaine
330780495;CLINIQUE MUTUALISTE DU MEDOC;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;92.5;84;97;A;Positive;Nouvelle Aquitaine
330780503;POLYCLINIQUE SAINT MARTIN;Oui;Oui;ES non contrôlé;80;80;70;88;B;;ES non contrôlé;80;91.25;83;97;A;Positive;Nouvelle Aquitaine
330780529;CLINIQUE MUTUALISTE;Oui;Oui;ES non contrôlé;74;100;100;100;A;;ES non contrôlé;80;87.5;78;94;B;Négative;Nouvelle Aquitaine
330780560;LA PIGNADA;Oui;Oui;ES non contrôlé;80;80;70;88;B;;ES non contrôlé;80;100;100;100;A;Stable;Nouvelle Aquitaine
330780719;DOMAINE DE HAUTERIVE S.A.;Oui;Oui;ES non contrôlé;80;11.25;5;20;C;;ES non contrôlé;80;83.75;74;91;B;Négative;Nouvelle Aquitaine
330780743;CENTRE DE SOINS DE SUITE ET RÉADAPTATION CHATEAUNE;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;82.5;72;90;B;Stable;Nouvelle Aquitaine
330780750;CENTRE DE SOINS DE SUITE ET RÉADAPTATION LES LAURI;Oui;Oui;ES non contrôlé;80;83.75;74;91;B;;ES non contrôlé;80;77.5;67;86;B;Négative;Nouvelle Aquitaine
330780768;L'AJONCIÈRE;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;95;88;99;A;Stable;Nouvelle Aquitaine
330781139;CRF LA TOUR DE GASSIES;Oui;Oui;Recueil Validé;80;66.25;55;76;C;;Recueil Validé;80;77.5;67;86;B;Positive;Nouvelle Aquitaine
330781154;C.R.F LES GRANDS CHENES;Oui;Oui;ES non contrôlé;80;51.25;40;63;C;;ES non contrôlé;80;46.25;35;58;C;Stable;Nouvelle Aquitaine
330781196;C.H.U. DE BORDEAUX;Oui;Oui;ES non contrôlé;80;66.25;55;76;C;;ES non contrôlé;80;61.25;50;72;C;Positive;Nouvelle Aquitaine
330781204;CENTRE HOSPITALIER D'ARCACHON;Oui;Oui;ES non contrôlé;60;93.33;84;98;A;;ES non contrôlé;61;75.41;63;86;B;Stable;Nouvelle Aquitaine
330781212;CENTRE HOSPITALIER DE BAZAS;Oui;Oui;ES non contrôlé;80;51.25;40;63;C;;ES non contrôlé;80;78.75;68;87;B;Stable;Nouvelle Aquitaine
330781220;CH DE LA HAUTE GIRONDE;Oui;Oui;ES non contrôlé;65;86.15;75;94;B;;ES non contrôlé;66;56.06;43;68;C;Négative;Nouvelle Aquitaine
330781253;CENTRE HOSPITALIER DE LIBOURNE;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;91.25;83;97;A;Stable;Nouvelle Aquitaine
330781261;C.H STE FOY LA GRANDE;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;50;39;61;C;Négative;Nouvelle Aquitaine
330781303;HÔPITAL D'INSTRUCTION DES ARMÉES ROBERT PICQUE;Non;Oui;ES non contrôlé;26;38.46;20;59;C;;ES non contrôlé;26;100;100;100;A;Stable;Service de santé des armées
330781402;POLYCLINIQUE DE BORDEAUX - TONDU;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;70;59;80;B;Négative;Nouvelle Aquitaine
330781626;MAIS REPOS LA ROSE DES SABLES;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;91.25;83;97;A;Stable;Nouvelle Aquitaine
330802778;CHATEAU LEMOINE READAPTATION;Oui;Oui;ES non contrôlé;80;30;20;41;C;;ES non contrôlé;80;96.25;89;99;A;Stable;Nouvelle Aquitaine
340000025;INSTITUT SAINT PIERRE;Oui;Oui;ES non contrôlé;80;7.5;3;16;C;;ES non contrôlé;0;;;;;;Occitanie
340000439;CENTRE ORTHOPEDIQUE MAGUELONE;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
340001064;CENTRE PROPARA;Non;Oui;ES non contrôlé;13;100;100;100;A;;ES non contrôlé;13;92.31;64;99;B;Stable;Occitanie
340009018;CLINIQUE DU PIC SAINT LOUP;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
340009893;HL BEDARIEUX;Oui;Oui;ES non contrôlé;73;95.89;88;99;A;;ES non contrôlé;80;73.75;63;83;B;Positive;Occitanie
340011295;LES HOPITAUX DU BASSIN DE THAU;Oui;Oui;ES non contrôlé;80;66.25;55;76;C;;ES non contrôlé;80;83.75;74;91;B;Stable;Occitanie
340019090;CRF BOURGÉS;Oui;Oui;ES non contrôlé;80;78.75;68;87;B;;ES non contrôlé;80;52.5;41;64;C;Stable;Occitanie
340780055;CH BEZIERS;Oui;Oui;ES non contrôlé;80;76.25;65;85;B;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
340780196;C.R.F. LE VALD'ORB;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;88.75;80;95;B;Stable;Occitanie
340780212;C.R.F. STER;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;62.5;51;73;C;Stable;Occitanie
340780253;MAISON DE REPOS LE COLOMBIER;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;100;100;100;A;Stable;Occitanie
340780469;HL SAINT-PONS;Oui;Oui;ES non contrôlé;80;76.25;65;85;B;;ES non contrôlé;80;98.75;93;99;A;Positive;Occitanie
340780477;CHU MONTPELLIER;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;75;64;84;B;Stable;Occitanie
340780519;HL LODEVE;Oui;Oui;ES non contrôlé;76;98.68;93;99;A;;ES non contrôlé;76;36.84;26;49;C;Stable;Occitanie
340780535;HL LUNEL;Oui;Oui;ES non contrôlé;72;18.06;10;29;C;;ES non contrôlé;74;18.92;11;30;C;Positive;Occitanie
340780543;HL CLERMONT- L' HERAULT;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;98.75;93;99;A;Stable;Occitanie
340780568;CLINIQUE DU SOUFFLE LA VALONIE;Oui;Oui;ES non contrôlé;80;35;25;47;C;;ES non contrôlé;80;73.75;63;83;B;Stable;Occitanie
340780816;CLINIQUE MUTUALISTE JEAN LEON;Oui;Oui;ES non contrôlé;80;42.5;31;54;C;;ES non contrôlé;80;73.75;63;83;B;Négative;Occitanie
340780824;MAIS REPOS CONV PLEIN SOLEIL;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;95;88;99;A;Positive;Occitanie
340780857;C.R.F.  LE CASTELET;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;100;100;100;A;Positive;Occitanie
340781608;MSM MAS DE ROCHET;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;88.75;80;95;B;Stable;Occitanie
340782002;C.R.F. LA PETITE PAIX;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;30;20;41;C;Négative;Occitanie
340789981;C.R.F.  FONTFROIDE;Oui;Oui;ES non contrôlé;80;82.5;72;90;B;;ES non contrôlé;80;42.5;31;54;C;Négative;Occitanie
340796093;C.R.F. STER;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;96.25;89;99;A;Positive;Occitanie
340796358;CENTRE PAUL COSTE FLORET;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;77.5;67;86;B;Stable;Occitanie
340797596;CENTRE DU MELEZET;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;76.25;65;85;B;Non Calculable;Occitanie
340798552;MAIS REPOS CONV PECH DU SOLEIL;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;62.5;51;73;C;Négative;Occitanie
350000022;CENTRE HOSPITALIER ST MALO;Oui;Oui;ES non contrôlé;80;32.5;22;44;C;;ES non contrôlé;80;72.5;61;82;B;Négative;Bretagne
350000030;CENTRE HOSPITALIER FOUGERES;Oui;Oui;ES non contrôlé;80;87.5;78;94;B;;ES non contrôlé;80;87.5;78;94;B;Stable;Bretagne
350000048;CH INTERCOMMUNAL REDON CARENTOIR;Oui;Oui;ES non contrôlé;80;7.5;3;16;C;;ES non contrôlé;80;96.25;89;99;A;Positive;Bretagne
350000055;CENTRE HOSPITALIER VITRE;Oui;Oui;ES non contrôlé;80;32.5;22;44;C;;ES non contrôlé;80;98.75;93;99;A;Stable;Bretagne
350000063;HÔPITAL ST THOMAS DE VILLENEUVE BAIN DE BRETAGNE;Oui;Oui;ES non contrôlé;80;52.5;41;64;C;;ES non contrôlé;80;97.5;91;99;A;Stable;Bretagne
350000071;HÔPITAL LA PROVIDENCE GARDINER DINARD;Oui;Oui;ES non contrôlé;80;31.25;21;43;C;;ES non contrôlé;80;80;70;88;B;Négative;Bretagne
350000089;HÔPITAL LOCAL LA GUERCHE;Oui;Oui;ES non contrôlé;80;0;0;0;C;;ES non contrôlé;80;93.75;86;98;A;Positive;Bretagne
350000204;CLINIQUE ST JOSEPH COMBOURG;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;90;81;96;A;Stable;Bretagne
350002192;POLYCLINIQUE SAINT LAURENT;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;82.5;72;90;B;Négative;Bretagne
350002200;CLINIQUE ST YVES RENNES;Oui;Oui;ES non contrôlé;80;53.75;42;65;C;;ES non contrôlé;80;97.5;91;99;A;Stable;Bretagne
350002234;CRRF BEAULIEU  RENNES;Non;Oui;ES non contrôlé;18;83.33;59;96;B;;ES non contrôlé;15;40;16;68;C;Stable;Bretagne
350002291;CH DE LA ROCHE AUX FEES JANZE;Oui;Oui;ES non contrôlé;69;31.88;21;44;C;;ES non contrôlé;76;88.16;79;95;B;Stable;Bretagne
350002309;HÔPITAL LOCAL GRAND FOUGERAY;Oui;Oui;ES non contrôlé;67;92.54;83;98;A;;ES non contrôlé;70;75.71;64;85;B;Négative;Bretagne
350002317;HÔPITAL LOCAL MONTFORT S/ MEU;Oui;Oui;ES non contrôlé;65;58.46;46;71;C;;ES non contrôlé;74;52.7;41;64;C;Négative;Bretagne
350002333;HÔPITAL LOCAL ST MEEN LE GRAND;Oui;Oui;ES non contrôlé;80;77.5;67;86;B;;ES non contrôlé;80;81.25;71;89;B;Stable;Bretagne
350002564;POLE MPR SAINT HELIER RENNES;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;85;75;92;B;Stable;Bretagne
350002911;MRC ST THOMAS DE VILLENEUVE BAGUER MORVAN;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;81.25;71;89;B;Stable;Bretagne
350005021;POLE GERIATRIQUE RENNAIS;Oui;Oui;ES non contrôlé;80;68.75;57;79;C;;ES non contrôlé;80;70;59;80;B;Positive;Bretagne
350005179;CHRU DE RENNES;Oui;Oui;ES non contrôlé;80;61.25;50;72;C;;ES non contrôlé;80;57.5;46;69;C;Négative;Bretagne
350008579;URFMP VERN SUR SEICHE;Non;Oui;ES non contrôlé;15;73.33;45;92;B;;ES non contrôlé;15;60;32;84;B;Stable;Bretagne
350040291;HÔPITAL LOCAL HAMON VAUJOYEUX CANCALE;Oui;Oui;ES non contrôlé;80;30;20;41;C;;ES non contrôlé;80;100;100;100;A;Stable;Bretagne
350044756;MAISON DE SOINS EN ADDICTOLOGIE : PHILAE;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;100;100;100;A;Stable;Bretagne
350048518;C. H. DES MARCHES DE BRETAGNE;Oui;Oui;ES non contrôlé;80;63.75;52;74;C;;ES non contrôlé;80;82.5;72;90;B;Stable;Bretagne
360000046;C H  ISSOUDUN;Oui;Oui;ES non contrôlé;80;32.5;22;44;C;;ES non contrôlé;80;10;4;19;C;Stable;Centre-Val de Loire
360000053;C.H. DE CHATEAUROUX;Oui;Oui;ES non contrôlé;80;87.5;78;94;B;;ES non contrôlé;80;92.5;84;97;A;Positive;Centre-Val de Loire
360000061;C. H.  LA CHATRE;Oui;Oui;ES non contrôlé;80;46.25;35;58;C;;ES non contrôlé;80;42.5;31;54;C;Stable;Centre-Val de Loire
360000087;HL VALENCAY;Oui;Oui;ES non contrôlé;31;12.9;4;30;C;;ES non contrôlé;32;96.88;84;99;A;Stable;Centre-Val de Loire
360000095;H.L. ST-ROCH BUZANCAIS;Oui;Oui;ES non contrôlé;80;52.5;41;64;C;;ES non contrôlé;80;87.5;78;94;B;Positive;Centre-Val de Loire
360000103;H.L. CHATILLON / INDRE;Oui;Oui;ES non contrôlé;80;88.75;80;95;B;;ES non contrôlé;80;76.25;65;85;B;Stable;Centre-Val de Loire
360000111;H.L. DE LEVROUX;Oui;Oui;ES non contrôlé;42;0;0;0;C;;ES non contrôlé;46;86.96;74;95;B;Stable;Centre-Val de Loire
360000129;"CLINIQUE ""ST FRANCOIS""";Oui;Oui;ES non contrôlé;58;27.59;17;41;C;;ES non contrôlé;61;98.36;91;99;A;Non Calculable;Centre-Val de Loire
360002232;CTRE CONV. ET DIET.MANOIR EN BERRY;Oui;Oui;ES non contrôlé;80;42.5;31;54;C;;ES non contrôlé;80;93.75;86;98;A;Négative;Centre-Val de Loire
370000150;CLINIQUE VELPEAU;Oui;Oui;ES non contrôlé;80;71.25;60;81;B;;ES non contrôlé;80;30;20;41;C;Stable;Centre-Val de Loire
370000184;M.R. ET C. LE COURBAT;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;100;100;100;A;Stable;Centre-Val de Loire
370000218;C.R.F  LE CLOS SAINT-VICTOR;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;90;81;96;A;Positive;Centre-Val de Loire
370000341;CTRE POST CURE ALCOOL MALVAU;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;87.5;78;94;B;Négative;Centre-Val de Loire
370000374;MAISON READ. FONCT. NEUR BEL AIR;Oui;Oui;ES non contrôlé;55;25.45;15;39;C;;ES non contrôlé;54;38.89;26;53;C;Négative;Centre-Val de Loire
370000481;C.H.U. DE TOURS;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;80;70;88;B;Stable;Centre-Val de Loire
370000564;CHI AMBOISE- CHATEAU RENAULT;Oui;Oui;ES non contrôlé;80;47.5;36;59;C;;ES non contrôlé;80;67.5;56;78;C;Négative;Centre-Val de Loire
370000606;C H  CHINONAIS;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;86.25;77;93;B;Stable;Centre-Val de Loire
