finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
310780671;CENTRE HOSPITALIER COMMINGES PYRENEES;310009279;CH COMMINGES PYRENEES SITE ENCORE;Occitanie;1- Obligatoire;1- Oui;63;72,08;C;4-Non calculable;63;72.28;63;82.81;63;81.73;63;62.2;63;48.86;63;66.21;42,9;63
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;Occitanie;1- Obligatoire;1- Oui;942;72,08;C;2-Stable;942;73.22;942;79.31;942;79.19;942;67.2;942;56.24;942;64.19;58,7;941
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310019351;HOPITAL LARREY CHU TLSE;Occitanie;1- Obligatoire;1- Oui;431;77,75;A;3-Amélioration;431;78.62;431;86.71;431;85.54;431;71.78;431;57.65;431;71.04;65,8;430
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310022298;HOPITAL GARONNE CHU TOULOUSE;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310025333;ONCOPOLE CHU TOULOUSE;Occitanie;1- Obligatoire;1- Oui;90;78,48;A;2-Stable;90;78.73;90;86.47;90;83.61;90;84.01;90;58.09;90;67.2;85,4;89
310026083;CLINIQUE SAINT-CYPRIEN RIVE GAUCHE;310026083;CL RIVE GAUCHE;Occitanie;1- Obligatoire;1- Oui;1093;72,95;C;2-Stable;1093;70.38;1093;81.89;1093;81.88;1093;68.35;1093;64.24;1093;62.97;57;1092
310026927;CL CAPIO LA CROIX DU SUD;310026927;CL CAPIO LA CROIX DU SUD;Occitanie;1- Obligatoire;1- Oui;1062;72,5;C;4-Non calculable;1062;68.48;1062;78.85;1062;81.18;1062;78.88;1062;54.66;1062;62.13;46;1062
310780150;CLINIQUE MEDIPOLE GARONNE;310780150;CL MEDIPOLE GARONNE;Occitanie;1- Obligatoire;1- Oui;703;79,39;A;2-Stable;703;80.48;703;84.95;703;84.9;703;79.12;703;66.83;703;69.94;77,4;703
310780259;CLINIQUE PASTEUR;310780259;CL PASTEUR;Occitanie;1- Obligatoire;1- Oui;1309;75,96;B;2-Stable;1309;76.66;1309;82;1309;82.05;1309;76.68;1309;70.98;1309;62.84;73;1307
310780283;CLINIQUE DE L'UNION;310780283;CL DE L'UNION;Occitanie;1- Obligatoire;1- Oui;518;74,27;B;2-Stable;518;73.34;518;81.05;518;82.14;518;74.37;518;52.49;518;66.98;55,5;517
310780382;CLINIQUE AMBROISE PARE;310780382;CL AMBROISE PARE;Occitanie;1- Obligatoire;1- Oui;359;72,6;C;3-Amélioration;359;70.79;359;80.37;359;81.92;359;70.3;359;54.44;359;64.11;48,5;359
310781000;CLINIQUE DES CEDRES;310781000;CL DES CEDRES;Occitanie;1- Obligatoire;1- Oui;1363;73,03;C;2-Stable;1363;73.11;1363;79.46;1363;81;1363;71.07;1363;50.65;1363;66.28;50;1357
310781067;HOPITAL JOSEPH DUCUING;310781067;HOPITAL JOSEPH DUCUING;Occitanie;1- Obligatoire;1- Oui;618;73,8;C;1-Diminution;618;71.52;618;84.31;618;83.99;618;68.19;618;50.19;618;66.65;71,5;618
310781505;S.A. CLINIQUE D'OCCITANIE;310781505;CL D'OCCITANIE;Occitanie;1- Obligatoire;1- Oui;327;73,09;C;2-Stable;327;72.45;327;80.78;327;81.86;327;69.93;327;54.77;327;64.53;46,8;327
310782016;CLINIQUE NEPHROLOGIQUE SAINT EXUPERY;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
310782347;INSTITUT CLAUDIUS REGAUD;310782347;INSTITUT CLAUDIUS REGAUD;Occitanie;1- Obligatoire;1- Oui;443;80,36;A;2-Stable;443;79.93;443;87.37;443;85.34;443;84.88;443;65.45;443;68.99;83;441
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310783048;HOPITAL PURPAN CHU TLSE;Occitanie;1- Obligatoire;1- Oui;946;74,12;B;2-Stable;946;74.24;946;82.22;946;80.09;946;75.7;946;59.48;946;61.84;62,5;944
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;Occitanie;1- Obligatoire;1- Oui;1009;73,28;C;1-Diminution;1009;72.09;1009;82.17;1009;80.59;1009;71.17;1009;57.68;1009;64.62;59,7;1007
310786389;SARL CLINIQUE DES PYRENEES;310786389;CL DES PYRENEES;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
320780117;CENTRE HOSPITALIER D'AUCH;320000086;CH AUCH;Occitanie;1- Obligatoire;1- Oui;75;71,83;C;2-Stable;75;69.73;75;80.63;75;79.52;75;68.77;75;60.39;75;61.8;48;75
320780067;POLYCLINIQUE DE GASCOGNE;320780067;POLYCL DE GASCOGNE;Occitanie;1- Obligatoire;1- Oui;64;74,27;B;4-Non calculable;64;77.44;64;79.41;64;78.11;64;76.61;64;62.77;64;61.85;64,1;64
330000217;MAISON DE SANTE MARIE GALENE ASSOC DES DAMES DU CALVAIRE;330000217;MAISON DE SANTE MARIE GALENE;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
330000332;HOPITAL SUBURBAIN DU BOUSCAT;330000332;HOPITAL SUBURBAIN DU BOUSCAT;Nouvelle Aquitaine;1- Obligatoire;1- Oui;37;77,21;B;4-Non calculable;37;81.23;37;84.02;37;82.74;37;74.57;37;65.67;37;67.24;73;37
330000340;MAISON DE SANTE PROTESTANTE DE BORDEAUX BAGATELLE;330000340;M.S.P.BX. BAGATELLE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;1173;73,15;C;1-Diminution;1173;75.98;1173;83.33;1173;83.73;1173;66.07;1173;39.71;1173;65.48;61,1;1171
330781204;CENTRE HOSPITALIER D'ARCACHON;330000555;CENTRE HOSPITALIER D'ARCACHON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;386;73,53;C;2-Stable;386;73.17;386;80.82;386;79.03;386;77.45;386;63.07;386;60.33;55,4;386
330781220;CENTRE HOSPITALIER DE LA HAUTE GIRONDE;330000571;CH DE LA HAUTE GIRONDE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;103;70,83;C;3-Amélioration;103;73.03;103;81.71;103;78.72;103;60.32;103;53.21;103;61.06;41,7;103
330027509;CENTRE HOSPITALIER INTERCOMMUNAL SUD GIRONDE;330000589;CH SUD GIRONDE - SITE LANGON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;34;71,61;C;2-Stable;34;74.06;34;82.93;34;78.79;34;61.64;34;58.22;34;60.95;38,2;34
330781253;CENTRE HOSPITALIER DE LIBOURNE;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;208;72,77;C;3-Amélioration;208;69.35;208;81.72;208;80.16;208;79.25;208;52.5;208;60.66;50,7;207
330781261;CENTRE HOSPITALIER DE STE FOY LA GRANDE;330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
330000662;INSTITUT BERGONIE CENTRE REGIONAL DE LUTTE CONTRE LE CANCER;330000662;INSTITUT BERGONIE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;376;75,37;B;2-Stable;376;72.55;376;84.36;376;83.58;376;70.53;376;66.76;376;66.06;69,9;376
330060658;GCS CLINIQUE CHIRURGICALE LIBOURNAIS;330060658;GCS CLINIQUE CHIRURGICALE LIBOURNAIS;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
330780040;NOUVELLE CLINIQUE BEL AIR;330780040;NOUVELLE CLINIQUE BEL AIR;Nouvelle Aquitaine;1- Obligatoire;1- Oui;439;78,96;A;2-Stable;439;79.36;439;85.32;439;85.77;439;80.65;439;63.39;439;69.02;72,1;438
330780081;CLINIQUE SAINT- AUGUSTIN;330780081;CLINIQUE SAINT- AUGUSTIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;973;73,91;C;2-Stable;973;75.47;973;82.49;973;80.95;973;70.85;973;54.3;973;64.54;62,5;971
330780115;SA CLINIQUE TIVOLI-DUCOS;330780115;CLINIQUE TIVOLI-DUCOS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;496;75,9;B;2-Stable;496;74.77;496;83.03;496;86.89;496;67.92;496;52.61;496;71.15;60,3;494
330780206;CLINIQUE D'ARCACHON;330780206;CLINIQUE D'ARCACHON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;161;76,66;B;2-Stable;161;77.09;161;83.07;161;81.67;161;80.91;161;61.47;161;64.9;70,2;161
330780255;CLINIQUE CHIRURGICALE DU LIBOURNAIS;330780255;CLINIQUE CHIRURGICALE DU LIBOURNAIS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;70;80,25;A;2-Stable;70;79.29;70;86.4;70;85.11;70;77.72;70;67.21;70;76.64;75,7;70
330780263;POLYCLINIQUE BORDEAUX RIVE DROITE - CLINIQ QUATRE PAVILLONS;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;712;73,7;C;1-Diminution;712;73.3;712;80.83;712;80.57;712;74.47;712;66.45;712;59.65;60,3;712
330780271;CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC;330780271;CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;404;82,91;A;2-Stable;404;84.74;404;88.02;404;86.71;404;83.49;404;72.06;404;74.75;83,1;403
330780354;POLYCLINIQUE DE BORDEAUX CAUDERAN LES PINS FRANCS;330780354;POLYCLINIQUE BORDEAUX-CAUDERAN;Nouvelle Aquitaine;2- Facultatif;1- Oui;43;72,79;C;4-Non calculable;43;77.6;43;75.34;43;77.63;43;79;43;64.59;43;57;39,5;43
330780479;POLYCLINIQUE BORDEAUX NORD AQUITAINE;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;1776;73,67;C;2-Stable;1776;72;1776;81.29;1776;81.96;1776;72.89;1776;61.65;1776;62.92;59,7;1772
330780495;CLINIQUE MUTUALISTE DU MEDOC;330780495;CLINIQUE MUTUALISTE DU MEDOC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;96;69,52;D;1-Diminution;96;74.47;96;76.84;96;74;96;62.1;96;49.35;96;62.93;41,7;96
330780503;HOPITAL PRIVE SAINT-MARTIN;330780503;HOPITAL PRIVE SAINT-MARTIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;1190;77,25;B;2-Stable;1190;76.62;1190;84.33;1190;85.03;1190;77.54;1190;54.92;1190;69.85;65,5;1188
330780511;CLINIQUE SAINTE-ANNE;330780511;CLINIQUE SAINTE-ANNE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;120;77,68;A;2-Stable;120;78.64;120;83.79;120;82.46;120;78.5;120;62.06;120;68.74;65,8;120
330780529;CLINIQUE MUTUALISTE DE PESSAC;330780529;CLINIQUE MUTUALISTE DE PESSAC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;241;72,97;C;2-Stable;241;72.18;241;80.14;241;79.91;241;70.34;241;62.13;241;63.47;60,2;241
330780537;CENTRE MEDICO-CHIRURGICAL WALLERSTEIN;330780537;CENTRE MEDICO-CHIRURGICAL WALLERSTEIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;143;78,85;A;3-Amélioration;143;80.52;143;83.31;143;85.73;143;71.38;143;76.53;143;71.34;69,9;143
330781303;HOPITAL D'INSTRUCTION DES ARMEES ROBERT PICQUE;330781303;HIA ROBERT PICQUE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781337;HOPITAL XAVIER ARNOZAN - CHU;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781352;HOPITAL SAINT-ANDRE - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;147;74,31;B;2-Stable;147;70.91;147;85.16;147;83.03;147;70.34;147;56.51;147;66.53;53,7;147
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;674;72,9;C;2-Stable;674;71.25;674;81.49;674;80.63;674;70.29;674;54.1;674;64.94;61,6;672
330781402;POLYCLINIQUE DE BORDEAUX-TONDU;330781402;NOUVELLE CLINIQUE BORDEAUX TONDU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;371;71,5;C;2-Stable;371;68.88;371;77.81;371;81.71;371;73.71;371;50.13;371;62.68;42,7;368
330782582;POLYCLINIQUE JEAN VILLAR;330782582;POLYCLINIQUE JEAN VILLAR;Nouvelle Aquitaine;1- Obligatoire;1- Oui;926;74,1;B;3-Amélioration;926;73.52;926;82.84;926;83.2;926;68.8;926;56.75;926;65.17;54,5;923
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330783648;HOPITAL HAUT-LEVEQUE - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;1393;73,98;C;1-Diminution;1393;74.61;1393;82.49;1393;80.09;1393;74.39;1393;52.77;1393;64.25;73,9;1387
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330802752;CENTRE JEAN ABADIE - CHU;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340780055;CENTRE HOSPITALIER BEZIERS;340000033;CH BEZIERS;Occitanie;1- Obligatoire;1- Oui;32;67,2;D;1-Diminution;32;64.85;32;76.24;32;73.4;32;62.18;32;56.71;32;61.34;43,8;32
340000207;INSTITUT REGIONAL DU CANCER DE MONTPELLIER;340000207;ICM;Occitanie;1- Obligatoire;1- Oui;766;79,86;A;2-Stable;766;81.56;766;86.6;766;84.02;766;81.04;766;66.46;766;69.04;82,2;762
340780519;CENTRE HOSPITALIER DE LODEVE;340000215;CH LODEVE;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340011295;LES HOPITAUX DU BASSIN DE THAU;340000223;HOPITAL ST CLAIR HBT SETE;Occitanie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
340780535;CENTRE HOSPITALIER DE LUNEL;340000231;CH POLE DE SANTE DE LUNEL;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340009885;POLYCLINIQUE CHAMPEAU;340009885;POLYCL CHAMPEAU;Occitanie;1- Obligatoire;1- Oui;88;72,26;C;4-Non calculable;88;73;88;76.82;88;80.42;88;71.66;88;61.91;88;62.15;55,7;88
340015502;CLINIQUE DU MILLENAIRE (LAVALETTE/SAINT-ROCH/RECH);340015502;CL DU MILLENAIRE;Occitanie;1- Obligatoire;1- Oui;1907;74,92;B;3-Amélioration;1907;76.7;1907;81.89;1907;80.91;1907;78.37;1907;57.08;1907;62.46;65,4;1903
340015965;POLYCLINIQUE CLINIQUE SAINT PRIVAT;340015965;POLYCL ST PRIVAT;Occitanie;1- Obligatoire;1- Oui;388;78,05;A;2-Stable;388;81.86;388;83.14;388;82.34;388;80;388;63.08;388;66.84;70,4;388
340022979;POLYCLINIQUE ST ROCH;340022979;POLYCL ST ROCH;Occitanie;1- Obligatoire;1- Oui;1523;73,21;C;2-Stable;1523;75.29;1523;80.02;1523;81.27;1523;74.79;1523;54.22;1523;60;61,3;1523
340780139;CLINIQUE D'OTOLOGIE DU DOCTEUR JEAN CAUSSE;340780139;CL DU DR JEAN CAUSSE;Occitanie;1- Obligatoire;1- Oui;165;79,62;A;2-Stable;165;81.5;165;84.97;165;85.28;165;76.47;165;65.6;165;72.72;78,7;164
340780147;POLYCLINIQUE DES TROIS VALLEES;340780147;POLYCL DES TROIS VALLEES;Occitanie;1- Obligatoire;1- Oui;31;75,56;B;4-Non calculable;31;74.33;31;81.28;31;82.25;31;76.98;31;63.97;31;67.85;51,6;31
340780154;POLYCLINIQUE PASTEUR;340780154;POLYCL PASTEUR;Occitanie;1- Obligatoire;1- Oui;46;71,19;C;4-Non calculable;46;71;46;79.6;46;75.82;46;74.17;46;60.61;46;58.32;52,2;46
340011295;LES HOPITAUX DU BASSIN DE THAU;340780436;HOPITAL ST LOUP HBT AGDE;Occitanie;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
340780568;CLINIQUE DU SOUFFLE LA VALLONNNIE;340780568;CL DU SOUFFLE LA VALLONIE;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340780634;CLINIQUE SAINT JEAN;340780634;CL ST JEAN;Occitanie;1- Obligatoire;1- Oui;671;75,97;B;2-Stable;671;71.83;671;83.8;671;83.96;671;75.16;671;63.13;671;67.52;65;671
340780642;CLINIQUE MEDICO CHIRURGICALE BEAU SOLEIL;340780642;CL BEAU SOLEIL;Occitanie;1- Obligatoire;1- Oui;130;75,31;B;3-Amélioration;130;72.97;130;83.72;130;85.23;130;67.98;130;55.75;130;71.9;55,4;130
340780667;CLINIQUE DU PARC;340780667;CL DU PARC;Occitanie;1- Obligatoire;1- Oui;124;74,47;B;2-Stable;124;72.52;124;81.75;124;82.97;124;76.04;124;56.33;124;65.14;52,4;124
340780675;CLINIQUE CLEMENTVILLE;340780675;CL CLEMENTVILLE;Occitanie;1- Obligatoire;1- Oui;1044;73,15;C;2-Stable;1044;74.27;1044;80.46;1044;81.32;1044;74.93;1044;54.49;1044;59.48;59,3;1040
340780717;CLINIQUE SAINT LOUIS LANGUEDOC MUTUALITE UNION AMBULATOIRE;340780717;CL ST LOUIS;Occitanie;1- Obligatoire;1- Oui;82;72,06;C;2-Stable;82;72.08;82;80.74;82;81;82;67.26;82;58.69;82;61.19;62,2;82
340780725;CLINIQUE VIA DOMITIA;340780725;CL VIA DOMITIA;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
340780741;POLYCLINIQUE SAINTE THERESE;340780741;POLYCL STE THERESE;Occitanie;1- Obligatoire;1- Oui;216;78,08;A;2-Stable;216;75.87;216;83.69;216;83.68;216;78.07;216;71.26;216;70.09;73,1;216
340781608;CLINIQUE DU MAS  DE ROCHET;340781608;CL DU MAS DE ROCHET;Occitanie;2- Facultatif;1- Oui;97;71,64;C;2-Stable;97;79.4;97;77.51;97;72.96;97;79.12;97;56.35;97;52.81;42,3;97
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340782036;HOPITAL ST ELOI CHU MONTPELLIER;Occitanie;1- Obligatoire;1- Oui;460;69,57;D;2-Stable;460;67.12;460;78.31;460;78.5;460;66.94;460;45.83;460;63.66;49,3;456
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;Occitanie;1- Obligatoire;1- Oui;891;73,32;C;2-Stable;891;71.01;891;82.51;891;81.64;891;72.65;891;49.85;891;65.47;63,3;889
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;Occitanie;1- Obligatoire;1- Oui;895;73,39;C;2-Stable;895;73.64;895;82.11;895;80.94;895;69.82;895;51.47;895;66.69;57;892
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;Occitanie;1- Obligatoire;1- Oui;1075;69,92;D;2-Stable;1075;70.15;1075;79.15;1075;78.89;1075;63.98;1075;48.02;1075;62.7;57,5;1073
350000063;HOPITAL ST THOMAS DE VILLENEUVE BAIN;350000063;HOPITAL ST THOMAS DE VILLENEUVE BAIN;Bretagne;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
350000121;CHP SAINT GREGOIRE;350000121;CHP SAINT GREGOIRE;Bretagne;1- Obligatoire;1- Oui;2577;74,75;B;2-Stable;2577;75.22;2577;80.64;2577;81.74;2577;71.44;2577;61.14;2577;67.03;59,8;2570
350000139;CLINIQUE MUTUALISTE LA SAGESSE RENNES;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;Bretagne;1- Obligatoire;1- Oui;1284;76,68;B;2-Stable;1284;74.47;1284;83.8;1284;82.52;1284;73.2;1284;70.72;1284;69.38;75;1284
350000022;CENTRE HOSPITALIER DE SAINT MALO - HOPITAL BROUSSAIS;350000147;CENTRE HOSPITALIER SAINT-MALO;Bretagne;1- Obligatoire;1- Oui;223;71,68;C;2-Stable;223;71.59;223;81.75;223;80.33;223;71.94;223;46.48;223;60.02;46,6;223
350000030;CENTRE HOSPITALIER DE FOUGERES;350000154;C.H FOUGERES;Bretagne;1- Obligatoire;1- Oui;208;74,26;B;3-Amélioration;208;74.7;208;82.34;208;77.83;208;72.28;208;62.41;208;66.18;54,8;208
350000048;CENTRE HOSPITALIER DE SECTEUR;350000162;CHIRC SITE REDON;Bretagne;1- Obligatoire;1- Oui;157;72,87;C;2-Stable;157;71.22;157;82.63;157;79.77;157;67.88;157;61.75;157;64.63;58;157
350000055;CENTRE HOSPITALIER DE VITRE;350000188;CENTRE HOSPITALIER   VITRE;Bretagne;1- Obligatoire;1- Oui;100;75,83;B;2-Stable;100;76.51;100;83.2;100;81.97;100;70.04;100;67.04;100;67.39;55;100
350000196;CLINIQUE DE LA COTE D'EMERAUDE;350000196;CLINIQUE DE LA COTE D'EMERAUDE;Bretagne;1- Obligatoire;1- Oui;175;78,51;A;2-Stable;175;81.26;175;83.56;175;83.26;175;76.73;175;63.59;175;71.55;74,1;174
350000204;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;350000204;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;Bretagne;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
350005179;CHRU RENNES;350000741;CHRU RENNES SITE PONTCHAILLOU;Bretagne;1- Obligatoire;1- Oui;1136;73,75;C;2-Stable;1136;74.86;1136;82.3;1136;81.55;1136;67.99;1136;56.88;1136;64.46;62,3;1133
350002192;POLYCLINIQUE ST LAURENT;350002192;POLYCLINIQUE ST LAURENT;Bretagne;1- Obligatoire;1- Oui;254;78,99;A;2-Stable;254;78.61;254;86.34;254;84.65;254;81.91;254;67.54;254;67.47;76,7;253
350002812;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER EUGENE MARQUIS;350002812;C.R.L.C.C. EUGENE MARQUIS;Bretagne;1- Obligatoire;1- Oui;219;80,66;A;2-Stable;219;77.96;219;88.28;219;87.7;219;78.97;219;65.67;219;74.3;78,9;218
350005146;HOPITAL PRIVE SEVIGNE;350005146;HOPITAL PRIVE SEVIGNE;Bretagne;1- Obligatoire;1- Oui;359;74,81;B;2-Stable;359;74.14;359;82.24;359;82.37;359;71.98;359;54.48;359;67.99;55,4;359
350005179;CHRU RENNES;350007084;CHRU RENNES SITE HOPITAL SUD;Bretagne;1- Obligatoire;1- Oui;1568;72,31;C;2-Stable;1568;72.32;1568;80.33;1568;78.49;1568;68.08;1568;57.1;1568;64.5;53,4;1567
360000046;CH LA TOUR BLANCHE D'ISSOUDUN;360000038;CH LA TOUR BLANCHE -  ISSOUDUN;Centre-Val de Loire;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
360000129;CLINIQUE SAINT FRANCOIS;360000129;CLINIQUE SAINT FRANCOIS;Centre-Val de Loire;1- Obligatoire;1- Oui;163;75,75;B;2-Stable;163;75.47;163;82.2;163;81.21;163;75.4;163;63.16;163;67.38;64,4;163
360000053;CH DE CHATEAUROUX;360000137;CH CHATEAUROUX;Centre-Val de Loire;1- Obligatoire;1- Oui;143;68,19;D;2-Stable;143;68.28;143;77.34;143;70.46;143;70.26;143;55.68;143;57.54;28,2;142
360000061;CH DE LA CHATRE;360000145;CH LA CHATRE;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
360000053;CH DE CHATEAUROUX;360000160;CH DU BLANC;Centre-Val de Loire;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
370000051;CLINIQUE JEANNE D'ARC - ST BENOIT;370000051;CLINIQUE JEANNE D'ARC - ST BENOIT;Centre-Val de Loire;2- Facultatif;1- Oui;32;74,27;B;2-Stable;32;73.49;32;80.74;32;80.2;32;77.88;32;52.83;32;64.99;65,6;32
370000085;CLINIQUE SAINT-GATIEN - TOURS;370000085;NCT+ SITE SAINT-GATIEN;Centre-Val de Loire;1- Obligatoire;1- Oui;293;71,84;C;2-Stable;293;72;293;81.69;293;82.02;293;67.21;293;57.08;293;60.26;62,8;290
370000093;CLINIQUE DE L'ALLIANCE - ST CYR/LOIRE;370000093;NCT+ SITE ALLIANCE;Centre-Val de Loire;1- Obligatoire;1- Oui;664;73,6;C;2-Stable;664;71.74;664;80.71;664;81.21;664;74.1;664;58.57;664;64.09;53,6;660
370000481;CHU DE TOURS;370000499;CHRU CLOCHEVILLE - TOURS;Centre-Val de Loire;1- Obligatoire;1- Oui;726;68,87;D;2-Stable;726;68.98;726;76.92;726;74.22;726;62.61;726;58.32;726;60.01;54,5;723
370000606;CENTRE HOSPITALIER DU CHINONAIS;370000531;CH DU CHINONAIS;Centre-Val de Loire;1- Obligatoire;1- Oui;94;75,95;B;3-Amélioration;94;78.35;94;84.5;94;80.37;94;75.21;94;60.41;94;64.52;71,3;94
370000564;CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT;370000580;CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
370000481;CHU DE TOURS;370000861;CHRU BRETONNEAU - TOURS;Centre-Val de Loire;1- Obligatoire;1- Oui;472;73,18;C;2-Stable;472;71.36;472;82.31;472;80.6;472;74.91;472;55.44;472;61.88;60,1;471
370000564;CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;Centre-Val de Loire;1- Obligatoire;1- Oui;39;72,96;C;4-Non calculable;39;76.77;39;78.12;39;73.42;39;75;39;62.47;39;63.99;59;39
370000614;CH DE LOCHES;370000903;CH PAUL MARTINAIS - LOCHES;Centre-Val de Loire;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
370002701;ETABLISSEMENTS POUR PERSONNES AGEES(MOYEN,LONG SEJOUR,M. R.);370001109;CH DE LUYNES - ET;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
