finess;finess_pmsi;nom_ES;region;type;obligatoire_icsha_v3_mhs;classe_ias_icsha_v3_mhs;res_ias_icsha_v3_mhs;evol_ias_icsha_v3_mhs;obligatoire_icsha_v3_psy;classe_ias_icsha_v3_psy;res_ias_icsha_v3_psy;evol_ias_icsha_v3_psy;obligatoire_dpa_had;classe_DPA_dtn_HAD;res_dpa_dtn_had;evol_dpa_dtn_had;classe_DPA_tre_HAD;res_dpa_tre_had;evol_dpa_tre_had;classe_DPA_coord_HAD;res_dpa_coord_had;evol_dpa_coord_had;classe_DPA_tdp_v3_HAD;res_dpa_tdp_v3_had;evol_dpa_tdp_v3_had;obligatoire_dpa_mco;classe_DPA_qls_v2_MCO;res_dpa_qls_v2_mco;evol_dpa_qls_v2_mco;classe_DPA_pcd_MCO;res_dpa_pcd_mco;evol_dpa_pcd_mco;obligatoire_dpa_ssr;classe_DPA_qls_SSR;res_dpa_qls_ssr;evol_dpa_qls_ssr;classe_DPA_pcd_SSR;res_dpa_pcd_ssr;evol_dpa_pcd_ssr;classe_DPA_pspv_SSR;res_dpa_pspv_ssr;evol_dpa_pspv_ssr;obligatoire_ca_mco;classe_CA_qls_v2_MCO;res_ca_qls_v2_mco;evol_ca_qls_v2_mco;ete_ortho_ratio_oe;ete_ortho_alerte_supe
590000477;590781670;CH LE QUESNOY;Hauts de France;CH;1;C;70;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;73;Non concerné (non comparable);B;82%;Non concerné (non comparable);1;B;72;Non concerné (non comparable);A;90%;Non concerné (non comparable);A;85;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
700000011;700780026;CH VAL DE SAONE PIERRE VITTER GRAY;Bourgogne-Franche-Comté;CH;1;C;52;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;77;Non concerné (non comparable);A;100%;Non concerné (non comparable);1;B;85;Non concerné (non comparable);A;100%;Non concerné (non comparable);A;96;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
220020341;220020341;AUB - HAD DU PAYS DE GUINGAMP;Bretagne;Privé;1;C;39;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;84%;-1;B;85%;0;C;63;0;A;86;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
930300025;930300025;HÔPITAL EUROPEEN LA ROSERAIE;Ile de France;Privé;1;C;54;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;54;Non concerné (non comparable);A;97%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;24;Non concerné (non comparable);4.12432086461288;0
640792305;640000626;MAISON  SAINT-ANTOINE;Nouvelle Aquitaine;PSPH/EBNL;1;C;55;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;64;Non concerné (non comparable);A;91%;Non concerné (non comparable);A;87;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
260000237;260000088;CH DE NYONS;Auvergne-Rhône-Alpes;CH;1;C;72;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);0;C;36;Non concerné (non comparable);A;100%;Non concerné (non comparable);1;C;39;Non concerné (non comparable);A;100%;Non concerné (non comparable);A;87;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
130037922;130037922;HPC RESIDENCE DU PARC;PACA;Privé;1;B;94;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;34;Non concerné (non comparable);B;82%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;56;Non concerné (non comparable);0.4859436672766;0
130780521;130780521;APHM HÔPITAL NORD;PACA;CHU;1;B;97;Non Applicable;1;C;75;Non Applicable;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;59;Non concerné (non comparable);A;92%;Non concerné (non comparable);0;Non concerné (non comparable);Non concerné (non comparable);Non concerné (non comparable);A;100%;Non concerné (non comparable);Non concerné (non comparable);Non concerné (non comparable);Non concerné (non comparable);1;C;57;Non concerné (non comparable);0.0;0
110003118;110003118;CLINIQUE DU SUD;Occitanie;Privé;1;C;53;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;49;Non concerné (non comparable);A;94%;Non concerné (non comparable);B;80;1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
820000198;820004950;CHI CASTELSARRASIN MOISSAC;Occitanie;CH;1;C;55;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;96;Non concerné (non comparable);A;98%;Non concerné (non comparable);A;91;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
740788617;740788617;S.F.D.T.M. CENTRE DIALYSE CHAMONIX;Auvergne-Rhône-Alpes;Privé;1;C;76;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
250011848;250011848;POLYCLINIQUE DE FRANCHE COMTE;Bourgogne-Franche-Comté;Privé;1;C;64;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;36;Non concerné (non comparable);A;98%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;17;Non concerné (non comparable);0.325725850814557;0
310790472;310790472;CL ST ORENS ST ORENS GAMEVILLE;Occitanie;Privé;1;C;53;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;53;Non concerné (non comparable);A;94%;Non concerné (non comparable);C;76;0;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
440017598;440000289;CHU DE NANTES : HÔPITAL G. R. LAENNEC;Pays de la Loire;CHU;1;C;72;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;33;Non concerné (non comparable);B;90%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;21;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité)
750049561;750049561;CLINIQUE DES EPINETTES;Ile de France;Privé;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;82;Non concerné (non comparable);B;84%;Non concerné (non comparable);A;88;0;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
970404018;970404018;CENTRE D'HEMODIALYSE MG DURIEUX;Océan Indien;Privé;1;Non répondant;Non répondant;Non répondant;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
680000494;680000494;CLINIQUE DIACONAT ROOSEVELT;Grand Est;Privé;1;C;63;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;69;Non concerné (non comparable);A;97%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;67;Non concerné (non comparable);0.0;0
310000336;310780713;CH REVEL;Occitanie;CH;1;C;73;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;86;Non concerné (non comparable);A;96%;Non concerné (non comparable);A;89;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
530000371;530000371;CENTRE HOSPITALIER  LAVAL;Pays de la Loire;CH;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;36;Non Applicable;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
240000414;240000067;CENTRE HOSPITALIER DE DOMME;Nouvelle Aquitaine;CH;1;A;112;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;69;Non concerné (non comparable);B;89%;Non concerné (non comparable);A;96;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
270000045;270000060;CH BERNAY;Normandie;CH;1;C;46;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;23;Non concerné (non comparable);B;87%;Non concerné (non comparable);1;C;52;Non concerné (non comparable);C;64%;Non concerné (non comparable);A;89;Non concerné (non comparable);1;C;37;Non concerné (non comparable);0.0;0
160012209;160012209;KORIAN LE MAS BLANC - JARNAC;Nouvelle Aquitaine;Privé;1;B;83;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;93;Non concerné (non comparable);B;81%;Non concerné (non comparable);C;76;-1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
490000049;490000031;CHU D' ANGERS :SITE LARREY;Pays de la Loire;CHU;1;B;86;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;13;Non concerné (non comparable);B;87%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;56;Non concerné (non comparable);0.519759026279419;0
340013259;340013259;AIDER UAD DE BEDARIEUX;Occitanie;Privé;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
100007699;100006279;HAD GHAM;Grand Est;CH;1;A;135;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;50%;Non concerné (non comparable);B;69%;Non concerné (non comparable);C;74;Non concerné (non comparable);A;89;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
750300360;750300360;HÔPITAL PRIVÉ DES PEUPLIERS;Ile de France;Privé;1;C;45;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;60;Non concerné (non comparable);B;90%;Non concerné (non comparable);1;C;65;Non concerné (non comparable);A;90%;Non concerné (non comparable);B;79;0;1;C;36;Non concerné (non comparable);0.0;0
580972693;580780039;HÔPITAL PIERRE BEREGOVOY;Bourgogne-Franche-Comté;CH;1;C;54;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;19;Non concerné (non comparable);B;82%;Non concerné (non comparable);1;C;40;Non concerné (non comparable);A;98%;Non concerné (non comparable);A;96;Non concerné (non comparable);1;C;55;Non concerné (non comparable);1.46550327547467;0
950110049;950110049;CH DE GONESSE;Ile de France;CH;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;65;Non Applicable;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
