finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_ajust;score_all_ajust;classement;evolution;score_AVH_ajust;nb_rep_score_AVH_ajust;score_ACC_ajust;nb_rep_score_ACC_ajust;score_PEC_ajust;nb_rep_score_PEC_ajust;score_CER_ajust;nb_rep_score_CER_ajust;score_OVS_ajust;nb_rep_score_OVS_ajust;taux_reco_brut;nb_reco_brut
140017237;HOPITAL PRIVE ST MARTIN-CAEN;140017237;HOPITAL PRIVE ST MARTIN-CAEN;Normandie;1- Obligatoire;1- Oui;1852;75,19;C;2-Stable;80,77;1852;80,33;1852;82,83;1852;68,36;1852;65,61;1852;67,8;1847
140018730;POLYCLINIQUE DE LISIEUX;140018730;POLYCLINIQUE DE LISIEUX;Normandie;1- Obligatoire;1- Oui;310;78,94;B;3-Amélioration;79,35;310;82,36;310;82,38;310;74,47;310;75,58;310;67,3;309
140000092;CENTRE HOSPITALIER DE BAYEUX;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;Normandie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;Normandie;1- Obligatoire;1- Oui;424;77,71;B;2-Stable;79,12;424;83,23;424;83,48;424;71,6;424;71,74;424;68,2;424
150780088;CENTRE HOSPITALIER DE SAINT FLOUR;150000032;CENTRE HOSPITALIER DE SAINT-FLOUR;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;35;76,59;B;4-Non calculable;79,98;35;81,82;35;83,02;35;61,37;35;73,1;35;68,6;35
150780096;CENTRE HOSPITALIER H.MONDOR;150000040;CENTRE HOSPITALIER HENRI MONDOR;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;59;81,08;A;4-Non calculable;80,9;59;82,96;59;87,58;59;74,2;59;77,74;59;67,8;59
150780732;CENTRE MEDICO-CHIRURGICAL DE TRONQUIERES;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;316;77,41;B;2-Stable;80,26;316;79,63;316;83,04;316;70,31;316;72,93;316;63,4;314
160000170;CLINIQUE SAINT-JOSEPH - ANGOULEME;160000170;CLINIQUE SAINT-JOSEPH;Nouvelle Aquitaine;1- Obligatoire;1- Oui;615;76,47;C;1-Diminution;78,74;615;79,02;615;83,01;615;72,46;615;70,07;615;68,6;615
160000451;CENTRE HOSPITALIER D'ANGOULEME;160000253;CENTRE HOSPITALIER D'ANGOULEME;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
160000279;CLINIQUE DE COGNAC;160000279;CLINIQUE DE COGNAC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;166;76,44;C;2-Stable;76,02;166;78,82;166;81,55;166;75,03;166;71,71;166;68,1;166
160013207;CENTRE CLINICAL SA;160013207;CENTRE CLINICAL SA;Nouvelle Aquitaine;1- Obligatoire;1- Oui;877;78,2;B;2-Stable;81,74;877;82,38;877;84,17;877;75,65;877;69,87;877;73,2;877
170780050;CENTRE HOSPITALIER DE JONZAC;170000038;CENTRE HOSPITALIER JONZAC;Nouvelle Aquitaine;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
170024194;CH GROUPE HOSPITALIER DE LA ROCHELLE-RE-AUNIS;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;613;80,44;A;3-Amélioration;81,96;613;83,38;613;84,91;613;73,5;613;77,16;613;71,5;611
170780167;CH DE SAINT-JEAN D'ANGELY;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;Nouvelle Aquitaine;1- Obligatoire;1- Oui;52;78,02;B;4-Non calculable;77,74;52;81,32;52;83,75;52;73,88;52;73,58;52;69,2;52
170780175;CTRE HOSP. DE SAINTONGE - SAINTES;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
170780225;CENTRE HOSPITALIER ROCHEFORT;170000152;CENTRE HOSPITALIER ROCHEFORT;Nouvelle Aquitaine;1- Obligatoire;1- Oui;712;76,81;B;3-Amélioration;77,86;712;82,06;712;84,13;712;72,43;712;69,33;712;64,8;710
170780563;ETAB. DE SOINS PASTEUR - ROYAN;170780563;ETAB. DE SOINS PASTEUR - ROYAN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;1459;77,87;B;2-Stable;80,13;1459;81,87;1459;84,56;1459;74,31;1459;70,32;1459;73,7;1454
170780613;CLINIQUE DU MAIL - LA ROCHELLE;170780613;CLINIQUE DU MAIL;Nouvelle Aquitaine;1- Obligatoire;1- Oui;529;75,95;C;1-Diminution;80,55;529;79,47;529;82,06;529;72,38;529;67,81;529;60,3;527
170780621;POLYCLINIQUE SAINT GEORGES;170780621;POLYCLINIQUE SAINT GEORGES;Nouvelle Aquitaine;1- Obligatoire;1- Oui;62;78,53;B;4-Non calculable;80,86;62;83,19;62;84,3;62;69,78;62;72,91;62;69,4;62
170780647;CLINIQUE RICHELIEU - SAINTES;170780647;CLINIQUE RICHELIEU - SAINTES;Nouvelle Aquitaine;1- Obligatoire;1- Oui;411;76,44;C;1-Diminution;80,95;411;80,68;411;83,48;411;73,34;411;66,92;411;67,6;411
170780662;CAPIO CLINIQUE DE L'ATLANTIQUE;170780662;CLINIQUE DE L'ATLANTIQUE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;602;77,35;B;2-Stable;78,78;602;80,82;602;83,73;602;76,69;602;69,46;602;76,5;601
180000028;CH JACQUES COEUR  DE BOURGES;180000010;CH  BOURGES - JACQUES COEUR;Centre-Val de Loire;1- Obligatoire;1- Oui;97;81,52;A;2-Stable;81,68;97;85,25;97;86,03;97;72,89;97;79,2;97;72,9;96
180000051;CH DE VIERZON;180000200;CH DE VIERZON;Centre-Val de Loire;1- Obligatoire;1- Oui;196;81,01;A;2-Stable;83,89;196;85,02;196;85,86;196;71,03;196;77,27;196;69,4;196
180000069;CH DE SAINT AMAND-MONTROND;180000283;CH SAINT AMAND-MONTROND;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
180000358;CLINIQUE DES GRAINETIERES;180000358;CLINIQUE DES GRAINETIERES;Centre-Val de Loire;1- Obligatoire;1- Oui;394;78,38;B;2-Stable;82,18;394;82,03;394;84,3;394;76,63;394;69,91;394;74,8;393
180004145;HOPITAL PRIVE GUILLAUME DE VARYE;180004145;HOPITAL PRIVE GUILLAUME DE VARYE;Centre-Val de Loire;1- Obligatoire;1- Oui;440;76,15;C;2-Stable;79,86;440;80,67;440;82,06;440;75,59;440;66,73;440;65,8;439
190000042;CENTRE HOSPITALIER DUBOIS BRIVE;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;39;78,76;B;4-Non calculable;79,29;39;83,55;39;86,67;39;75,18;39;70,68;39;74,4;39
190000059;CENTRE HOSPITALIER COEUR DE CORREZE;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;59;77,42;B;4-Non calculable;77,83;59;79,85;59;83,77;59;70,6;59;73,46;59;67,8;59
190000075;CENTRE HOSPITALIER D'USSEL;190000091;CENTRE HOSPITALIER D'USSEL;Nouvelle Aquitaine;1- Obligatoire;1- Oui;105;81,14;A;3-Amélioration;81,87;105;85,87;105;86,52;105;78,81;105;74,49;105;79,8;104
190000224;CLINIQUE LES CEDRES BRIVE;190000224;CLINIQUE LES CEDRES BRIVE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;376;79,46;B;2-Stable;81,33;376;81,75;376;85,13;376;72,53;376;75,57;376;66,3;374
190000257;CLINIQUE  SAINT-GERMAIN  BRIVE;190000257;CLINIQUE  SAINT-GERMAIN  BRIVE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;549;77,73;B;2-Stable;79,65;549;80,24;549;82,36;549;72,82;549;73,58;549;62,6;546
210011847;POLYCLINIQUE DU PARC DREVON;210011847;POLYCLINIQUE DU PARC DREVON;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;661;72;D;2-Stable;74,78;661;77,02;661;81,69;661;65,71;661;62,32;661;55,3;655
210012670;HOPITAL PRIVE DIJON BOURGOGNE;210012670;HOPITAL PRIVE DIJON BOURGOGNE;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;1672;73,33;C;2-Stable;75,64;1672;77,9;1672;81,33;1672;67,78;1672;65,18;1672;54,4;1666
210780789;CLINIQUE MUTUALISTE BENIGNE-JOLY A TALANT;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;303;71,3;D;2-Stable;76,65;303;78,61;303;80,21;303;61,56;303;60,97;303;51,5;303
210780581;CENTRE HOSPITALIER UNIVERSITAIRE DE DIJON;210987558;HOPITAL LE BOCAGE CHRU DIJON;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;901;76,29;C;2-Stable;77,25;901;79,39;901;81,41;901;70,85;901;72,08;901;69,1;901
210012175;HOSPICES CIVILS DE BEAUENE;210987657;HOSPICES CIVILS DE BEAUNE;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;72;80,45;A;3-Amélioration;82,17;72;83,9;72;85,69;72;79,23;72;73,68;72;73,2;71
210780706;CENTRE HOSPITALIER ROBERT MORLEVAT SEMUR EN AUXOIS;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;116;80,64;A;4-Non calculable;82,48;116;85,61;116;84,61;116;79,31;116;74,08;116;71,6;116
210987731;CENTRE DE LUTTE CONTRE LE CANCER GEORGES-FRANCOIS LECLERC;210987731;CLCC GEORGES-FRANCOIS LECLERC;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;184;84,37;A;4-Non calculable;83,72;184;86,52;184;88,67;184;76,16;184;83,4;184;92,9;184
220000020;CENTRE HOSPITALIER DE SAINT BRIEUC;220000012;CENTRE HOSPITALIER YVES LE FOLL;Bretagne;1- Obligatoire;1- Oui;153;77,28;B;2-Stable;80,41;153;82,66;153;83,86;153;68,74;153;70,5;153;71,1;152
220000111;POLYCLINIQUE DU TREGOR;220000111;POLYCLINIQUE DU TREGOR;Bretagne;1- Obligatoire;1- Oui;556;78,29;B;2-Stable;80,32;556;84,04;556;84,88;556;76,59;556;68,87;556;73,6;556
220000079;CENTRE HOSPITALIER GUINGAMP;220000343;CENTRE HOSPITALIER GUINGAMP;Bretagne;1- Obligatoire;1- Oui;32;72,85;D;4-Non calculable;74;32;79,21;32;81,62;32;68,66;32;62,54;32;68,8;32
220000103;CENTRE HOSPITALIER GENERAL -  LANNION;220000368;CENTRE HOSPITALIER LANNION;Bretagne;1- Obligatoire;1- Oui;70;79,29;B;4-Non calculable;79,07;70;83,42;70;88,38;70;77,95;70;70,07;70;57,1;70
220005599;POLYCLINIQUE DU PAYS DE RANCE;220005599;POLYCLINIQUE DU PAYS DE RANCE;Bretagne;1- Obligatoire;1- Oui;446;81,24;A;2-Stable;83,55;446;84,18;446;86,25;446;77,92;446;75,56;446;78;446
220022800;HOPITAL PRIVE DES COTES D'ARMOR;220022800;HOPITAL PRIVÉ DES COTES D'ARMOR;Bretagne;1- Obligatoire;1- Oui;916;78,46;B;2-Stable;81,99;916;82,17;916;84,37;916;76,67;916;70,17;916;71,1;915
230780041;CENTRE HOSPITALIER DE GUERET;230000820;CENTRE HOSPITALIER GUERET;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
230780082;CENTRE MEDICAL NATIONAL ALFRED LEUNE - MGEN;230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
230780157;CLINIQUE DE LA MARCHE GUERET;230780157;CLINIQUE DE LA MARCHE GUERET;Nouvelle Aquitaine;1- Obligatoire;1- Oui;292;76,04;C;2-Stable;78,48;292;80,21;292;83,29;292;72,29;292;67,88;292;63,6;291
240000190;SOCIETE ANONYME POLYCLINIQUE FRANCHEVILLE;240000190;POLYCLINIQUE FRANCHEVILLE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;607;77,81;B;2-Stable;79,41;607;81,38;607;83,48;607;72,37;607;72,6;607;65,9;607
240000208;CLINIQUE PASTEUR;240000208;CLINIQUE PASTEUR;Nouvelle Aquitaine;1- Obligatoire;1- Oui;437;76,59;B;3-Amélioration;80,48;437;81,4;437;83,86;437;75,85;437;65,94;437;61,6;437
240000216;SA CLINIQUE DU PARC;240000216;CLINIQUE DU PARC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;187;77,99;B;2-Stable;77,83;187;80,12;187;84,28;187;76,21;187;72,8;187;73,8;187
240000059;CENTRE HOSPITALIER SAMUEL POZZI;240000372;C.H DE BERGERAC;Nouvelle Aquitaine;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
240000117;CENTRE HOSPITALIER DE PERIGUEUX;240000489;CENTRE HOSPITALIER DE PERIGUEUX;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
240000448;CENTRE HOSPITALIER JEAN LECLAIRE;240000687;CENTRE HOSPITALIER SARLAT;Nouvelle Aquitaine;1- Obligatoire;1- Oui;77;81,04;A;4-Non calculable;86,66;77;86,38;77;86,28;77;72,17;77;74,31;77;70,1;77
250000270;CAPIO CLINIQUE SAINT VINCENT BESANCON;250000270;CAPIO CLINIQUE SAINT VINCENT BESANCON;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;871;76,15;C;2-Stable;80,29;871;83,31;871;82,97;871;68,99;871;67;871;70;871
250000452;CHI HC CHI HAUTE COMTE;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;318;78,4;B;1-Diminution;80,99;318;81,6;318;82,5;318;71,19;318;74,8;318;63,7;317
250000015;CHRU BESANCON;250006954;CHRU JEAN MINJOZ;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;212;76,67;B;4-Non calculable;80,56;212;79,48;212;82,47;212;72,62;212;69,58;212;67;212
250011848;HOSPITALIA MUTUALITE POLYCLINIQUE DE FRANCHE COMTE;250011848;HOSPITALIA MUTUALITE PFC;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;1585;77,82;B;2-Stable;82,77;1585;82,89;1585;84,82;1585;74,88;1585;67,63;1585;74,5;1582
260000021;CH DE VALENCE;260000013;CENTRE HOSPITALIER DE VALENCE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;314;75,63;C;1-Diminution;77,95;314;76,99;314;80,75;314;69,36;314;72,07;314;57,8;313
260016910;HOPITAUX DROME NORD;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;165;78,05;B;4-Non calculable;81,32;165;81,63;165;83,03;165;69,94;165;73,54;165;63,2;163
260000047;CH DE MONTELIMAR;260000138;GR. HOSP. PORTES PROVENCE - MONTELIMAR;Auvergne-Rhône-Alpes;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
260000054;CENTRE HOSPITALIER DE CREST;260000146;CENTRE HOSPITALIER DE CREST;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;196;81,78;A;4-Non calculable;81,92;196;86,82;196;86,62;196;75,83;196;77,38;196;83,7;196
260000260;CLINIQUE LA PARISIÈRE;260000260;CLINIQUE LA PARISIÈRE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;646;75,01;C;3-Amélioration;77,47;646;79,67;646;83,14;646;72,64;646;65,43;646;61,2;645
260003017;CLINIQUE KENNEDY;260003017;CLINIQUE KENNEDY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;1291;73,57;C;2-Stable;78,64;1291;78,94;1291;81,45;1291;71,84;1291;61,9;1291;57,6;1289
260006267;CLINIQUE GENERALE VALENCE;260006267;CLINIQUE GENERALE VALENCE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;754;74,77;C;3-Amélioration;79,17;754;79,48;754;81,9;754;67,21;754;66,87;754;58,1;752
270000060;CENTRE HOSPITALIER DE BERNAY;270000045;CH BERNAY;Normandie;1- Obligatoire;1- Oui;211;82,06;A;2-Stable;82,74;211;84,27;211;86,62;211;82,88;211;76,33;211;77,7;211
270000326;CLINIQUE CHIRURGICALE PASTEUR EVREUX;270000326;HOPITAL PRIVE PASTEUR EVREUX;Normandie;1- Obligatoire;1- Oui;304;75,77;C;1-Diminution;79,58;304;81,55;304;81,27;304;70,08;304;68,2;304;65,1;304
270023724;CENTRE HOSPITALIER EURE-SEINE;270000359;CH EVREUX CH EURE-SEINE;Normandie;1- Obligatoire;1- Oui;111;76,47;C;4-Non calculable;81,47;111;81,16;111;83,12;111;74,1;111;66,28;111;64;111
270000086;POLE SANITAIRE DU VEXIN CH GISORS;270000367;CH GISORS;Normandie;1- Obligatoire;1- Oui;213;78,05;B;1-Diminution;76,15;213;82,95;213;84,31;213;77,62;213;71,53;213;61;213
270000102;CENTRE HOSPITALIER DE PONT-AUDEMER;270000425;CH PONT-AUDEMER;Normandie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
270023724;CENTRE HOSPITALIER EURE-SEINE;270000458;CH VERNON CH EURE-SEINE;Normandie;1- Obligatoire;2- Non;;;NV;;;;;;;;;;;;;
270000862;CLINIQUE BERGOUIGNAN;270000862;CLINIQUE BERGOUIGNAN;Normandie;1- Obligatoire;1- Oui;427;76,34;C;1-Diminution;79,87;427;79,5;427;82,55;427;72,06;427;69,41;427;62;424
280000183;CENTRE HOSPITALIER DE DREUX;280000084;CH DREUX;Centre-Val de Loire;1- Obligatoire;1- Oui;37;74,19;C;4-Non calculable;74,38;37;80,15;37;79,98;37;69,42;37;67,65;37;62,2;37
280500075;CENTRE HOSPITALIER DE CHATEAUDUN;280000662;CH CHATEAUDUN;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
280000589;CH DE NOGENT LE ROTROU;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;Centre-Val de Loire;1- Obligatoire;1- Oui;145;78,13;B;3-Amélioration;82,16;145;86,12;145;84,66;145;72,01;145;68,55;145;68,1;144
280000134;CH DE CHARTRES;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;Centre-Val de Loire;1- Obligatoire;1- Oui;65;76,5;B;2-Stable;79,92;65;83,01;65;84,19;65;68,68;65;67,95;65;60;65
280505777;NOUVELLE CLINIQUE SAINT FRANCOIS;280505777;HOPITAL PRIVE D'EURE ET LOIR;Centre-Val de Loire;1- Obligatoire;1- Oui;1312;73,63;C;2-Stable;78,37;1312;78,47;1312;80,49;1312;70,78;1312;63,51;1312;54,7;1309
290020700;CENTRE HOSPITALIER INTERCOMMUNAL DE CORNOUAILLE;290000025;CHIC QUIMPER;Bretagne;1- Obligatoire;1- Oui;189;75,16;C;2-Stable;79,12;189;80,84;189;83,26;189;74,48;189;63,69;189;60,8;189
290021542;CENTRE HOSPITALIER DES PAYS DE MORLAIX;290000033;C.H. DES PAYS DE MORLAIX;Bretagne;1- Obligatoire;1- Oui;122;80,1;A;4-Non calculable;82,4;122;84,22;122;84,57;122;75,94;122;74,44;122;63,9;122
290000017;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;290000058;CHRU BREST SITE HOPITAL MORVAN;Bretagne;1- Obligatoire;1- Oui;237;75,49;C;4-Non calculable;79,8;237;78,96;237;80,13;237;65,91;237;71,31;237;63,8;235
290000140;CLINIQUE PASTEUR LANROZE;290000140;CLINIQUE PASTEUR LANROZE;Bretagne;1- Obligatoire;1- Oui;979;77,65;B;2-Stable;79,41;979;78,97;979;83,08;979;70,47;979;74,56;979;60;976
290000041;CENTRE HOSPITALIER FERDINAND GRALL LANDERNEAU;290000173;CH FERDINAND GRALL LANDERNEAU;Bretagne;1- Obligatoire;1- Oui;190;78,55;B;4-Non calculable;78,56;190;82,94;190;84,98;190;81,07;190;69,65;190;65,3;190
290000207;CLINIQUE SAINT-MICHEL ET SAINTE-ANNE;290000207;CLINIQUE ST MICHEL ET STE ANNE;Bretagne;1- Obligatoire;1- Oui;995;78,37;B;2-Stable;83,34;995;82,9;995;85,08;995;73,73;995;69,23;995;74,7;991
290000215;POLYCLINIQUE QUIMPER SUD;290000215;POLYCLINIQUE QUIMPER SUD;Bretagne;1- Obligatoire;1- Oui;751;76,94;B;2-Stable;80,78;751;82,68;751;84,32;751;75,08;751;66,1;751;71,5;750
290000017;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;Bretagne;2- Facultatif;1- Oui;33;82,81;A;4-Non calculable;87,82;33;89,76;33;89,59;33;76,71;33;72,93;33;75,8;33
290000728;HOPITAL INSTRUCTION DES ARMEES;290000728;HOPITAL INSTRUCTION DES ARMEES;Bretagne;1- Obligatoire;1- Oui;124;83,86;A;2-Stable;87,72;124;87,61;124;87,73;124;73,81;124;80,75;124;88,7;124
290004142;CLINIQUE DU GRAND LARGE;290004142;CLINIQUE DU GRAND LARGE;Bretagne;1- Obligatoire;1- Oui;489;79,46;B;1-Diminution;81,77;489;82,41;489;85,41;489;77,13;489;72,25;489;68,7;489
290000017;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;Bretagne;1- Obligatoire;1- Oui;236;77,43;B;4-Non calculable;81,76;236;80,1;236;83,64;236;68,81;236;71,73;236;64,8;236
290019777;POLYCLINIQUE DE KERAUDREN;290019777;POLYCLINIQUE DE KERAUDREN;Bretagne;1- Obligatoire;1- Oui;886;78,45;B;2-Stable;82,08;886;83,25;886;84,47;886;76,43;886;69,53;886;67,5;886
290023431;CENTRE MEDICO-CHIRURGICAL DE LA BAIE DE MORLAIX;290023431;CTRE MEDICO-CHIR. BAIE MORLAIX;Bretagne;1- Obligatoire;1- Oui;886;77,79;B;2-Stable;78,99;886;81,24;886;83,33;886;74,43;886;72,1;886;68,9;885
2A0000014;CENTRE HOSPITALIER GENERAL N D MISERICORDE AJACCIO;2A0000022;CH ND LA MISERICORDE;Corse;1- Obligatoire;1- Oui;93;77,57;B;4-Non calculable;78,63;93;78,46;93;85,02;93;66,56;93;75,24;93;52,2;92
2A0000139;CLINISUD;2A0000139;CLINISUD;Corse;1- Obligatoire;1- Oui;826;76,23;C;1-Diminution;77,37;826;79,47;826;82,72;826;72,72;826;69,86;826;68,7;823
2A0000154;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;2A0000154;CLINIQUE DU SUD DE LA CORSE;Corse;1- Obligatoire;1- Oui;221;76;C;2-Stable;77,97;221;81,26;221;83,66;221;68,74;221;68,73;221;52,3;220
2B0000020;CENTRE HOSPITALIER - FALCONAJA - BASTIA;2B0000012;CENTRE HOSPITALIER DE BASTIA;Corse;1- Obligatoire;1- Oui;45;80,78;A;3-Amélioration;83,11;45;81,93;45;84,42;45;73,08;45;79,17;45;68,9;45
2B0000079;CLINIQUE DU DOCTEUR PAUL LAURENT FILIPPI;2B0000079;CLINIQUE DR FILIPPI;Corse;1- Obligatoire;1- Oui;421;75,16;C;4-Non calculable;74,66;421;78,63;421;82,91;421;72,17;421;68,4;421;67,9;421
2B0000145;POLYCLINIQUE MAYMARD  LA RESIDENCE;2B0000145;POLYCLINIQUE LA RESIDENCE MAYMARD;Corse;1- Obligatoire;1- Oui;240;71,51;D;4-Non calculable;72,51;240;79,16;240;80,07;240;66,22;240;61,97;240;58,3;240
2B0000392;POLYCLINIQUE DE FURIANI;2B0000392;POLYCLINIQUE DE FURIANI;Corse;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
300780046;CENTRE HOSPITALIER ALES CEVENNES;300000023;CH ALES CEVENNES;Occitanie;1- Obligatoire;1- Oui;70;75,82;C;1-Diminution;74,1;70;81,32;70;82,62;70;73,21;70;69,36;70;62,9;70
300780053;CENTRE HOSPITALIER LOUIS PASTEUR BAGNOLS SUR CEZE;300000031;CH LOUIS PASTEUR;Occitanie;1- Obligatoire;1- Oui;366;77,29;B;2-Stable;78,12;366;80,96;366;83,77;366;74,27;366;70,81;366;65;366
300002508;CTRE ANESTHESIE ET CHIR AMBULATOIRE DES HAUTS D'AVIGNON;300002508;CL DU GRAND AVIGNON;Occitanie;1- Obligatoire;1- Oui;649;81,07;A;2-Stable;83,5;649;85,78;649;85,89;649;75,09;649;75,67;649;83,7;649
300017498;CLINIQUE AMBULATOIRE DE LA CEZE;300017498;CL AMBULATOIRE DE LA CEZE;Occitanie;1- Obligatoire;1- Oui;500;78,04;B;2-Stable;81,41;500;80,99;500;83,85;500;78,09;500;69,74;500;59,9;499
300780137;NOUVELLE CLINIQUE BONNEFON;300780137;NOUVELLE CL BONNEFON;Occitanie;1- Obligatoire;1- Oui;575;75,47;C;2-Stable;77,87;575;79,02;575;81,87;575;73,53;575;67,62;575;58,4;572
300780152;HOPITAL PRIVE LES FRANCISCAINES;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;Occitanie;1- Obligatoire;1- Oui;271;74,01;C;2-Stable;76,81;271;77,93;271;81,35;271;70,4;271;65,34;271;62;271
300781465;POLYCLINIQUE KENNEDY;300781465;POLYCL KENNEDY;Occitanie;1- Obligatoire;1- Oui;305;76,95;B;4-Non calculable;80,56;305;78,46;305;84,11;305;66,09;305;72,49;305;53,8;303
300780038;CENTRE HOSPITALIER UNIVERSITAIRE DE NIMES;300782117;CHU NIMES CAREMEAU;Occitanie;1- Obligatoire;1- Oui;465;78,69;B;3-Amélioration;82,6;465;81,72;465;82,85;465;68,08;465;75,86;465;69,7;465
300788502;POLYCLINIQUE GRAND SUD;300788502;POLYCL GRAND SUD;Occitanie;1- Obligatoire;1- Oui;905;71,83;D;1-Diminution;75,91;905;77,15;905;79,89;905;66,3;905;62,31;905;56,3;903
310780671;CENTRE HOSPITALIER COMMINGES PYRENEES;310000310;CH COMMINGES PYRENEES SITE PLANCARD;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
310780671;CENTRE HOSPITALIER COMMINGES PYRENEES;310009279;CH COMMINGES PYRENEES SITE ENCORE;Occitanie;1- Obligatoire;1- Oui;100;80,04;A;4-Non calculable;82,59;100;85,44;100;85,03;100;72,73;100;74,39;100;62,6;99
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;Occitanie;1- Obligatoire;1- Oui;416;77,39;B;3-Amélioration;79,35;416;82,17;416;82,8;416;65,35;416;74,52;416;70,7;416
310781406;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;310025333;ONCOPOLE CHU TOULOUSE;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
310026083;CLINIQUE SAINT-CYPRIEN RIVE GAUCHE;310026083;CL RIVE GAUCHE;Occitanie;1- Obligatoire;1- Oui;3077;78,63;B;2-Stable;82,22;3077;79,12;3077;83,61;3077;74,97;3077;73,85;3077;70;3074
310026927;CL CAPIO LA CROIX DU SUD;310026927;CL CAPIO LA CROIX DU SUD;Occitanie;1- Obligatoire;1- Oui;722;74;C;4-Non calculable;78,78;722;77,26;722;81,31;722;69,04;722;65,48;722;53,5;716
