raison_sociale;libelle_region;cat;finess;Sources;tdp_c_den_etbt;tdp_c_etbt;tdp_c_icbas_etbt;tdp_c_ichaut_etbt;dec_c_den_etbt;dec_c_etbt;dec_c_icbas_etbt;dec_c_ichaut_etbt;trd_c_den_etbt;trd_c_etbt;trd_c_icbas_etbt;trd_c_ichaut_etbt;dtn1_c1_den_etbt;dtn1_c1_etbt;dtn1_c1_icbas_etbt;dtn1_c1_ichaut_etbt
CENTRE REEDUCATION PAUL CEZANNE;PACA;Privé;130786932;2013;80;96.15;94.9;97.41;80;100;100;100;80;97.5;91;99;80;95;88;99
CENTRE CARDIO VASCULAIRE VALMANT;PACA;Privé;130789159;2013;80;83.57;81.86;85.27;80;80;70;88;80;100;100;100;80;60;48;71
CH D'ARLES;PACA;CH;130789274;2013;80;53.65;51.64;55.67;80;88.75;80;95;80;82.5;72;90;80;0;0;0
CH  DE  MARTIGUES;PACA;CH;130789316;2013;80;84.33;82.78;85.88;80;100;100;100;80;100;100;100;80;97.5;91;99
CENTRE LES FEUILLADES;PACA;Privé;130789357;2013;80;94.13;92.79;95.48;80;90;81;96;80;96.25;89;99;80;83.75;74;91
CENTRE HOSPITALIER AUNAY S/ODON;Basse Normandie;CH;140000084;2013;80;80.76;78.09;83.43;79;86.08;76;93;80;93.75;86;98;80;90;81;96
CENTRE HOSPITALIER DE BAYEUX;Basse Normandie;CH;140000092;2013;80;84.14;81.58;86.7;80;41.25;30;53;80;97.5;91;99;80;98.75;93;99
CHU COTE DE NACRE CAEN;Basse Normandie;CHU;140000100;2013;52;86.83;84.59;89.08;50;96;86;99;52;88.46;77;96;52;67.31;53;80
CENTRE HOSPITALIER DE FALAISE;Basse Normandie;CH;140000118;2013;54;80.18;76.53;83.82;49;97.96;89;99;54;98.15;90;99;52;92.31;81;98
CENTRE HOSPITALIER DE PONT L'EVEQUE;Basse Normandie;CH;140000134;2013;80;94.59;92.98;96.2;80;77.5;67;86;80;63.75;52;74;80;98.75;93;99
CENTRE HOSPITALIER DE VIRE;Basse Normandie;CH;140000159;2013;80;89.02;87.25;90.8;80;100;100;100;80;98.75;93;99;80;90;81;96
FONDATION DE LA MISÉRICORDE HÉROUVILLE SAINT CLAIR;Basse Normandie;ESPIC/EBNL;140000340;2013;80;87.1;85.66;88.54;80;92.5;84;97;80;66.25;55;76;80;87.5;78;94
CRF ST FRANCOIS;Basse Normandie;Privé;140002239;2013;80;69.28;67.03;71.52;80;72.5;61;82;80;100;100;100;79;37.97;27;50
RÉSIDENCE THALATTA (OUISTREHAM);Basse Normandie;Privé;140015975;2013;80;73.2;70.35;76.05;80;50;39;61;80;73.75;63;83;80;46.25;35;58
CRF CAEN;Basse Normandie;Privé;140025123;2013;80;63.52;60.64;66.39;80;45;34;57;80;52.5;41;64;80;71.25;60;81
KORIAN COTE NORMANDE - IFS;Basse Normandie;Privé;140025255;2013;80;78.58;76.57;80.59;80;95;88;99;80;62.5;51;73;80;98.75;93;99
CENTRE HOSPITALIER DE LA CÔTE FLEURIE;Basse Normandie;CH;140026279;2013;80;50.23;48.02;52.45;80;86.25;77;93;80;37.5;27;49;80;92.5;84;97
CLINIQUE DU SOUFFLE;Auvergne;Privé;150002608;2013;80;94.5;93.21;95.8;80;33.75;24;45;80;88.75;80;95;80;85;75;92
C.H. HENRI MONDOR AURILLAC;Auvergne;CH;150780096;2013;80;86.72;84.41;89.03;80;80;70;88;80;53.75;42;65;80;90;81;96
CL DU HAUT CANTAL - RIOM ES;Auvergne;Privé;150780120;2013;80;81.41;78.49;84.33;80;65;53;75;80;100;100;100;80;78.75;68;87
CENTRE HOSPITALIER PIERRE RAYNAL;Auvergne;CH;150780393;2013;80;80.22;77.97;82.46;80;63.75;52;74;80;35;25;47;80;98.75;93;99
CENTRE HOSPITALIER MAURIAC;Auvergne;CH;150780468;2013;73;90.25;87.96;92.55;52;96.15;87;99;73;54.79;43;67;67;91.04;81;97
HOPITAL LOCAL MURAT;Auvergne;CH;150780500;2013;80;80.83;78.78;82.87;80;87.5;78;94;80;73.75;63;83;80;60;48;71
CENTRE MEDICAL MAURICE DELORT;Auvergne;ESPIC/EBNL;150780708;2013;80;94.3;92.69;95.91;80;78.75;68;87;80;92.5;84;97;80;91.25;83;97
C MC - AURILLAC;Auvergne;Privé;150780732;2013;80;91.91;91.11;92.71;80;91.25;83;97;80;100;100;100;80;97.5;91;99
HOPITAL LOCAL DE LA ROCHEFOUCAULD;Poitou Charentes;CH;160000121;2013;80;68.23;66.05;70.41;80;90;81;96;80;95;88;99;80;97.5;91;99
CENTRE HOSPITALIER  ANGOULEME;Poitou Charentes;CH;160000451;2013;79;98.33;97.57;99.09;78;94.87;87;99;79;74.68;64;84;78;97.44;91;99
CENTRE HOSPITALIER DE CONFOLENS (LABAJOUDERIE);Poitou Charentes;CH;160000485;2013;80;73.98;71.1;76.87;71;87.32;77;94;80;100;100;100;80;76.25;65;85
CENTRE HOSPITALIER DE RUFFEC;Poitou Charentes;CH;160000493;2013;80;25.83;23.93;27.72;80;11.25;5;20;80;88.75;80;95;80;67.5;56;78
"C. H. ""HOPITAUX DU SUD CHARENTE""";Poitou Charentes;CH;160006037;2013;80;80.01;78.06;81.96;80;85;75;92;80;15;8;25;80;87.5;78;94
C.R.F LES GLAMOTS;Poitou Charentes;ESPIC/EBNL;160009080;2013;79;94.41;92.56;96.26;79;97.47;91;99;79;100;100;100;79;96.2;89;99
SARL CLINIQUE MAISON BLANCHE;Poitou Charentes;Privé;160012209;2013;80;78.75;77.46;80.04;80;96.25;89;99;80;76.25;65;85;80;67.5;56;78
CTRE HOSP INTERCOMM DU PAYS DE COGNAC;Poitou Charentes;CH;160014411;2013;80;81.22;78.65;83.79;80;31.25;21;43;80;93.75;86;98;80;92.5;84;97
GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;Poitou Charentes;CH;170023279;2013;74;88.86;84.98;92.74;67;70.15;58;81;74;39.19;28;51;72;87.5;78;94
CRF LA VILLA RICHELIEU;Poitou Charentes;ESPIC/EBNL;170780043;2013;80;94.78;93.15;96.42;80;92.5;84;97;80;98.75;93;99;80;81.25;71;89
CENTRE HOSPITALIER DE JONZAC;Poitou Charentes;CH;170780050;2013;80;76.17;73.51;78.83;80;65;53;75;80;40;29;52;80;98.75;93;99
MAISON DE CONVALESCENCE CHATEAU DE MORNAY;Poitou Charentes;Privé;170780068;2013;80;80.58;78.53;82.62;80;72.5;61;82;80;87.5;78;94;80;98.75;93;99
SARL MAIS.REPOS CHATEAU CLAVETTE;Poitou Charentes;Privé;170780100;2013;80;79.98;77.15;82.8;80;96.25;89;99;80;100;100;100;80;95;88;99
CHATEAU DE MARLONGES;Poitou Charentes;CH;170780118;2013;80;79.13;76.87;81.4;80;88.75;80;95;80;93.75;86;98;80;92.5;84;97
HOPITAL LOCAL ST PIERRE D'OLERON;Poitou Charentes;CH;170780142;2013;65;87.16;84.63;89.69;62;91.94;82;97;65;75.38;63;85;60;76.67;64;87
CENTRE HOSPITALIER DE SAINT-JEAN-D'ANGELY;Poitou Charentes;CH;170780167;2013;80;55.51;51.2;59.83;80;78.75;68;87;80;51.25;40;63;80;46.25;35;58
CENTRE HOSPITALIER  DE SAINTES (ST LOUIS);Poitou Charentes;CH;170780175;2013;80;84.45;83.2;85.7;80;96.25;89;99;80;100;100;100;80;96.25;89;99
CENTRE HOSPITALIER DE ROYAN;Poitou Charentes;CH;170780191;2013;80;70.99;67.54;74.43;80;68.75;57;79;80;98.75;93;99;80;95;88;99
HOPITAL LOCAL  DE MARENNES (DUBOIS MEYNARDIE);Poitou Charentes;CH;170780209;2013;80;48.3;46.17;50.43;80;0;0;0;80;73.75;63;83;80;87.5;78;94
C. H. ROCHEFORT-SUR-MER;Poitou Charentes;CH;170780225;2013;80;80.52;78.37;82.68;80;92.5;84;97;80;66.25;55;76;80;97.5;91;99
CENTRE HOSPITALIER DE BOSCAMNANT;Poitou Charentes;CH;170780266;2013;80;87.81;86.27;89.36;80;96.25;89;99;80;97.5;91;99;80;91.25;83;97
CENTRE ALCOOLOGIQUE ALPHA;Poitou Charentes;Privé;170781199;2013;80;88.36;86.58;90.14;80;93.75;86;98;80;65;53;75;80;100;100;100
CARDIOCEAN S.A;Poitou Charentes;Privé;170803431;2013;80;91.44;89.66;93.22;80;56.25;45;67;80;98.75;93;99;80;98.75;93;99
C. H. J. COEUR  BOURGES;Centre;CH;180000028;2013;80;83.85;81.55;86.16;70;41.43;30;54;80;95;88;99;73;60.27;48;72
C. H. VIERZON;Centre;CH;180000051;2013;80;85.13;81.84;88.42;79;43.04;32;55;80;30;20;41;80;73.75;63;83
C. H. ST AMAND MONTROND;Centre;CH;180000069;2013;80;87.71;84.65;90.76;80;77.5;67;86;80;81.25;71;89;80;76.25;65;85
H. L. SANCERRE;Centre;CH;180000093;2013;80;93.94;92.69;95.2;57;68.42;55;80;80;83.75;74;91;73;93.15;85;98
BLAUDY CONVALESCENCE;Centre;Privé;180000598;2013;80;84.81;83.47;86.15;80;72.5;61;82;80;100;100;100;80;98.75;93;99
CENTRE HOSPITALIER  BRIVE;Limousin;CH;190000042;2013;80;78.62;76.07;81.18;80;86.25;77;93;80;100;100;100;80;93.75;86;98
CENTRE HOSPITALIER  TULLE;Limousin;CH;190000059;2013;80;86.42;84.72;88.12;80;47.5;36;59;80;62.5;51;73;80;68.75;57;79
HOPITAL LOCAL  BORT LES ORGUES;Limousin;CH;190000067;2013;62;83.14;79.87;86.4;53;79.25;66;89;62;95.16;86;99;62;82.26;70;91
CENTRE HOSPITALIER  USSEL;Limousin;CH;190000075;2013;80;92.73;91.35;94.12;80;93.75;86;98;80;63.75;52;74;80;98.75;93;99
RESID. ST JEAN LEZ CEDRES BRIVE;Limousin;Privé;190005694;2013;80;91.19;89.33;93.06;80;97.5;91;99;80;100;100;100;80;97.5;91;99
CH INTERCOM. CHATILLON MONTBARD;Bourgogne;CH;210010070;2013;80;67.08;61.85;72.32;80;60;48;71;80;91.25;83;97;80;86.25;77;93
CENTRE HOSPITALIER AUXOIS MORVAN - CHAM;Bourgogne;CH;210011482;2013;80;70.14;67.28;72.99;79;89.87;81;96;80;62.5;51;73;79;96.2;89;99
CRF DIVIO;Bourgogne;Privé;210780144;2013;64;94.23;92.66;95.81;64;73.44;61;84;64;96.88;89;99;64;85.94;75;93
SSR EDITH CAVELL;Bourgogne;Privé;210780276;2013;80;91.03;89.46;92.61;80;77.5;67;86;80;100;100;100;80;87.5;78;94
C.R.B. LES ROSIERS;Bourgogne;Privé;210780292;2013;80;88.93;88.09;89.77;80;97.5;91;99;80;70;59;80;80;78.75;68;87
C.H.U. DE DIJON;Bourgogne;CHU;210780581;2013;80;93.93;92.6;95.27;80;90;81;96;80;46.25;35;58;80;78.75;68;87
CENTRE HOSPITALIER DE BEAUNE;Bourgogne;CH;210780714;2013;80;88.14;86.18;90.1;80;82.5;72;90;80;25;16;36;80;100;100;100
MAISON DE REPOS LA FOUGERE;Bourgogne;Privé;210986725;2013;80;79.26;75.3;83.22;80;66.25;55;76;80;92.5;84;97;80;97.5;91;99
S.A. MAISON DE JOUVENCE;Bourgogne;Privé;210986741;2013;80;77.28;75;79.56;80;71.25;60;81;80;88.75;80;95;80;86.25;77;93
CENTRE DE CONVALESCENCE;Bourgogne;Privé;210987046;2013;80;83.99;81.95;86.03;80;58.75;47;70;80;87.5;78;94;80;92.5;84;97
CENTRE HOSPITALIER ST BRIEUC;Bretagne;CH;220000020;2013;80;86.15;85.09;87.21;80;98.75;93;99;80;100;100;100;80;100;100;100
CENTRE HOSPITALIER RENÉ PLÉVEN DINAN;Bretagne;CH;220000046;2013;80;99.8;99.52;100;79;97.47;91;99;80;100;100;100;80;100;100;100
CENTRE HOSPITALIER GUINGAMP;Bretagne;CH;220000079;2013;80;92.18;90.44;93.92;80;86.25;77;93;80;98.75;93;99;80;92.5;84;97
CENTRE HOSPITALIER LANNION;Bretagne;CH;220000103;2013;80;75.52;71.77;79.27;80;61.25;50;72;80;56.25;45;67;80;50;39;61
CENTRE HOSPITALIER PAIMPOL;Bretagne;CH;220000152;2013;80;77.63;73.68;81.58;80;85;75;92;80;91.25;83;97;80;95;88;99
HÔPITAL LOCAL QUINTIN;Bretagne;CH;220000186;2013;63;61;58.42;63.58;56;75;62;86;63;96.83;89;99;63;79.37;67;89
CENTRE HOSPITALIER PLOUGUERNÉVEL;Bretagne;ESPIC/EBNL;220000236;2013;51;71.57;68.21;74.93;49;67.35;52;80;51;92.16;81;98;51;86.27;74;94
MRC VELLEDA;Bretagne;Privé;220000467;2013;80;95;93.41;96.59;80;98.75;93;99;80;81.25;71;89;80;95;88;99
"""LES CHATELETS"" PLOUFRAGAN";Bretagne;ESPIC/EBNL;220000475;2013;80;86.06;83.94;88.17;80;75;64;84;80;91.25;83;97;80;88.75;80;95
CENTRE HOSPITALIER TREGUIER;Bretagne;CH;220005045;2013;78;83.42;81.3;85.54;73;87.67;78;94;78;75.64;65;85;76;76.32;65;85
"CENTRE DE POST-CURE ""L'AVANCÉE"" ST BRIEUC";Bretagne;ESPIC/EBNL;220014708;2013;71;86.65;84.44;88.85;71;90.14;81;96;71;95.77;88;99;71;91.55;82;97
CENTRE HOSPITALIER DE LAMBALLE;Bretagne;CH;220021968;2013;80;85.45;84.22;86.67;80;98.75;93;99;80;100;100;100;80;63.75;52;74
CENTRE HOSPITALIER  GUERET;Limousin;CH;230780041;2013;80;93.11;91.02;95.2;80;96.25;89;99;80;93.75;86;98;80;86.25;77;93
CENTRE HOSPITALIER  AUBUSSON;Limousin;CH;230780058;2013;80;93.72;92.34;95.09;80;82.5;72;90;80;87.5;78;94;80;78.75;68;87
CENTRE HOSPITALIER  BOURGANEUF;Limousin;CH;230780066;2013;80;91.7;90.04;93.35;80;98.75;93;99;80;82.5;72;90;80;82.5;72;90
CTRE MEDICAL NATIONAL  STE FEYRE;Limousin;ESPIC/EBNL;230780082;2013;80;77.39;75.06;79.71;76;22.37;14;33;80;85;75;92;76;96.05;89;99
CH MLS EVAUX LES BAINS;Limousin;CH;230780512;2013;80;85.75;83.97;87.52;80;78.75;68;87;80;88.75;80;95;80;93.75;86;98
CH LA SOUTERRAINE;Limousin;CH;230780520;2013;80;82.4;81.38;83.41;80;100;100;100;80;73.75;63;83;80;97.5;91;99
CRRF ANDRE LALANDE;Limousin;ESPIC/EBNL;230782617;2013;80;84.7;82.89;86.5;80;52.5;41;64;80;50;39;61;80;36.25;26;48
CH DE LANMARY;Aquitaine;CH;240000034;2013;80;87.13;84.56;89.7;80;98.75;93;99;80;90;81;96;80;87.5;78;94
HOPITAL LOCAL DE BELVES;Aquitaine;CH;240000042;2013;80;86.59;84.41;88.77;80;66.25;55;76;80;93.75;86;98;80;72.5;61;82
HOPITAL LOCAL DE DOMME;Aquitaine;CH;240000067;2013;80;91.85;90.46;93.25;79;100;100;100;80;66.25;55;76;80;100;100;100
HOPITAL-LOCAL NONTRON;Aquitaine;CH;240000109;2013;78;83.77;81.55;85.99;66;81.82;70;90;78;76.92;66;86;74;100;100;100
CENTRE HOSPITALIER PERIGUEUX;Aquitaine;CH;240000117;2013;80;78.48;75.75;81.21;80;92.5;84;97;80;100;100;100;80;96.25;89;99
HOPITAL LOCAL DE RIBERAC;Aquitaine;CH;240000133;2013;55;40.16;38.23;42.09;44;4.55;0;16;55;65.45;51;78;51;5.88;1;16
HOPITAL LOCAL DE SAINT-AULAYE;Aquitaine;CH;240000158;2013;80;79.61;77.07;82.14;79;30.38;20;42;80;85;75;92;79;75.95;65;85
CENTRE HOSPITALIER DE LA MEYNARDIE;Aquitaine;CH;240000166;2013;62;92.03;89.97;94.09;52;82.69;70;92;62;95.16;86;99;60;63.33;50;75
CLINIQUE PASTEUR;Aquitaine;Privé;240000208;2013;80;84.09;81.58;86.61;80;85;75;92;80;76.25;65;85;80;80;70;88
CTRE CONVALESCENCE LES FOUGERES;Aquitaine;Privé;240000273;2013;80;86.1;84.48;87.72;80;97.5;91;99;80;100;100;100;80;90;81;96
LE CHATEAU DE BASSY;Aquitaine;ESPIC/EBNL;240000307;2013;80;94.7;93.2;96.21;78;96.15;89;99;80;98.75;93;99;75;92;83;97
CENTRE HOSPITALIER JEAN LECLAIRE;Aquitaine;CH;240000448;2013;80;86.39;84.46;88.33;77;98.7;93;99;80;100;100;100;80;48.75;37;60
C.R.F  LA  LANDE;Aquitaine;Privé;240002402;2013;80;82;80.46;83.54;80;95;88;99;80;58.75;47;70;80;51.25;40;63
CENTRE LE VERGER DES BALANS;Aquitaine;Privé;240008318;2013;80;92.68;91.35;94.02;80;91.25;83;97;80;92.5;84;97;80;95;88;99
HL P NAPPEZ MORTEAU;Franche Comté;CH;250000221;2013;80;65.7;62.63;68.76;79;62.03;50;73;80;92.5;84;97;80;88.75;80;95
HL STE CROIX BAUME LES DAMES;Franche Comté;CH;250000239;2013;80;44.96;42.71;47.21;80;23.75;15;35;80;23.75;15;35;80;90;81;96
CLINIQUE SAINT PIERRE;Franche Comté;Privé;250000288;2013;80;86.79;84.5;89.07;80;66.25;55;76;80;100;100;100;80;92.5;84;97
CLINIQUE DE L'ORANGERIE;Franche Comté;Privé;250000353;2013;80;76.96;73.73;80.18;80;77.5;67;86;80;100;100;100;80;90;81;96
HOPITAL RURAL ORNANS;Franche Comté;CH;250000478;2013;80;70.73;68.35;73.11;80;75;64;84;80;98.75;93;99;80;91.25;83;97
CENTRE DE RÉADAPTATION ET RÉÉDUCATION LES SALINS DE BREGILLE;Franche Comté;ESPIC/EBNL;250000544;2013;29;78.77;;;29;68.97;49;85;29;96.55;82;99;16;62.5;35;85
CENTRE DE SOINS DES TILLEROYES;Franche Comté;CH;250000569;2013;80;84.05;81.79;86.32;80;90;81;96;80;81.25;71;89;80;92.5;84;97
CENTRE DE RÉADAPTATION FONCTIONNELLE;Franche Comté;CH;250002839;2013;80;80.22;77.73;82.71;80;66.25;55;76;80;97.5;91;99;80;71.25;60;81
CENTRE HOSPITALIER DE VALENCE;Rhône Alpes;CH;260000021;2013;72;86.61;84.08;89.14;66;96.97;89;99;72;58.33;46;70;71;85.92;76;93
CENTRE HOSPITALIER MONTELIMAR;Rhône Alpes;CH;260000047;2013;80;94.46;92.78;96.15;79;100;100;100;80;83.75;74;91;80;100;100;100
HOPITAL LOCAL DIEULEFIT;Rhône Alpes;CH;260000070;2013;44;72.14;68.48;75.81;41;46.34;31;63;44;54.55;39;70;40;37.5;23;54
HOPITAL LOCAL DE NYONS;Rhône Alpes;CH;260000088;2013;80;92.27;90.17;94.38;80;81.25;71;89;80;100;100;100;80;87.5;78;94
H. L.  BUIS LES BARONNIES;Rhône Alpes;CH;260000096;2013;58;74.15;69.74;78.56;57;63.16;49;76;58;82.76;71;91;58;74.14;61;85
CENTRE HOSPITALIER DE DIE;Rhône Alpes;CH;260000104;2013;68;64.01;61.52;66.5;65;83.08;72;91;68;86.76;76;94;68;91.18;82;97
CENTRE MEDICAL SAINTE CATHERINE;Rhône Alpes;ESPIC/EBNL;260000153;2013;80;90.77;88.57;92.97;80;95;88;99;80;93.75;86;98;80;90;81;96
"CLINIQUE PNEUMOLOGIE LES RIEUX ""ATRIR""";Rhône Alpes;ESPIC/EBNL;260000195;2013;80;91.97;91.18;92.76;80;80;70;88;80;95;88;99;80;96.25;89;99
C.R.F. LES BAUMES;Rhône Alpes;ESPIC/EBNL;260000682;2013;80;81.14;79.42;82.85;80;53.75;42;65;80;76.25;65;85;80;26.25;17;37
CLINIQUE GENERALE;Rhône Alpes;Privé;260006267;2013;80;83.11;80.66;85.56;80;76.25;65;85;80;92.5;84;97;80;37.5;27;49
HOPITAUX DROME NORD;Rhône Alpes;CH;260016910;2013;80;46.65;44.18;49.12;80;90;81;96;80;36.25;26;48;80;62.5;51;73
DIEULEFIT SANTE;Rhône Alpes;ESPIC/EBNL;260017454;2013;80;91.65;88.79;94.51;80;77.5;67;86;80;98.75;93;99;80;98.75;93;99
CENTRE HOSPITALIER DE BERNAY;Haute Normandie;CH;270000060;2013;80;86.79;84.84;88.75;70;90;80;96;80;58.75;47;70;79;26.58;17;38
CENTRE HOSPITALIER DE GISORS;Haute Normandie;CH;270000086;2013;80;74.88;71.56;78.2;80;97.5;91;99;80;63.75;52;74;80;37.5;27;49
C H DE LA RISLE- PONT AUDEMER;Haute Normandie;CH;270000102;2013;80;89.32;87.84;90.79;75;100;100;100;80;100;100;100;75;98.67;93;99
CENTRE HOSPITALIER DE VERNEUIL;Haute Normandie;CH;270000110;2013;80;56.86;54.26;59.45;77;38.96;28;51;80;40;29;52;80;65;53;75
CLINIQUE DE LA LOVIÈRE (EX-RAVINE);Haute Normandie;Privé;270000342;2013;66;97.67;96.64;98.7;64;90.63;81;97;66;100;100;100;66;60.61;48;72
CENTRE DE CONVALESCENCE L'HOSTREA;Haute Normandie;ESPIC/EBNL;270000417;2013;80;76.79;74.84;78.73;80;46.25;35;58;80;88.75;80;95;80;70;59;80
SARL ORPEA LE VALLON;Haute Normandie;Privé;270000433;2013;80;89.15;87.16;91.14;80;51.25;40;63;80;82.5;72;90;80;37.5;27;49
CLINIQUE LES BRUYERES;Haute Normandie;Privé;270000870;2013;80;93.17;91.88;94.45;80;20;12;30;80;71.25;60;81;80;41.25;30;53
HÔPITAL LA MUSSE;Haute Normandie;ESPIC/EBNL;270000912;2013;80;80.13;76.99;83.28;80;76.25;65;85;80;82.5;72;90;80;81.25;71;89
CHI EURE SEINE HÔPITAUX EVREUX-VERNON;Haute Normandie;CH;270023724;2013;80;70.24;67.2;73.28;68;70.59;58;81;80;16.25;9;26;76;75;64;84
LE CLOS DU ROY;Centre;Privé;280000035;2013;80;84.07;80.77;87.37;80;36.25;26;48;80;37.5;27;49;80;25;16;36
CH CHARTRES;Centre;CH;280000134;2013;80;72.55;69.59;75.5;76;94.74;87;99;80;18.75;11;29;80;91.25;83;97
"C.H. ""VICTOR JOUSSELIN""";Centre;CH;280000183;2013;80;72.42;69.71;75.13;80;97.5;91;99;80;93.75;86;98;80;72.5;61;82
H.L. LA LOUPE;Centre;CH;280000225;2013;53;76.52;71.93;81.12;50;36;23;51;53;100;100;100;53;77.36;64;88
"CENTRE MEDICAL ""JEAN DE GROOTE""";Centre;ESPIC/EBNL;280000266;2013;80;97.12;96;98.23;80;86.25;77;93;80;97.5;91;99;80;62.5;51;73
KORIAN PARC DE GASVILLE;Centre;Privé;280000431;2013;80;86.69;84.68;88.7;80;97.5;91;99;80;93.75;86;98;80;100;100;100
CLINIQUE CARDIO MAISON BLANCHE;Centre;Privé;280000449;2013;76;93.72;91.86;95.59;76;96.05;89;99;76;85.53;76;93;76;85.53;76;93
C.H. DE NOGENT LE ROTROU;Centre;CH;280000589;2013;80;61.97;59.39;64.55;80;75;64;84;80;98.75;93;99;80;85;75;92
C.H. DE CHATEAUDUN;Centre;CH;280500075;2013;80;76.13;73.67;78.59;80;95;88;99;80;96.25;89;99;80;85;75;92
"M.REGIME ET C. ""LES SORBIERS""";Centre;Privé;280505223;2013;80;92.72;91.31;94.13;80;43.75;33;55;80;92.5;84;97;80;100;100;100
ETAB CONV REPOS LA BOISSIERE;Centre;Privé;280505264;2013;80;88.74;86.83;90.66;80;80;70;88;80;91.25;83;97;80;88.75;80;95
"ETAB. CONV.REPOS  ""LE CALME""";Centre;Privé;280506015;2013;80;90.38;89.26;91.51;80;85;75;92;80;96.25;89;99;80;97.5;91;99
C.H.U.  BREST;Bretagne;CHU;290000017;2013;80;83.89;80.18;87.6;80;86.25;77;93;80;97.5;91;99;80;83.75;74;91
CENTRE HOSPITALIER FERDINAND GRALL LANDERNEAU;Bretagne;CH;290000041;2013;80;87.92;85.88;89.96;80;90;81;96;80;95;88;99;80;37.5;27;49
CENTRE HOSPITALIER DOUARNENEZ;Bretagne;CH;290000074;2013;80;97.07;96.15;97.98;80;100;100;100;80;78.75;68;87;80;85;75;92
HÔPITAL LOCAL CROZON;Bretagne;CH;290000090;2013;46;80.32;77.82;82.83;42;9.52;3;23;46;93.48;82;99;42;45.24;30;61
HÔPITAL LOCAL  LESNEVEN;Bretagne;CH;290000108;2013;80;85.47;83.1;87.84;80;15;8;25;80;100;100;100;80;100;100;100
HÔPITAL LOCAL LANMEUR;Bretagne;CH;290000116;2013;70;80.77;78.9;82.64;65;55.38;42;68;70;77.14;66;86;70;94.29;86;99
CLINIQUE DE L'ELORN;Bretagne;Privé;290000165;2013;80;96.24;95.27;97.21;80;96.25;89;99;80;92.5;84;97;80;100;100;100
CENTRE HOSPITALIER QUIMPERLE;Bretagne;CH;290000306;2013;80;75.1;71.47;78.72;80;73.75;63;83;80;56.25;45;67;80;71.25;60;81
CLINIQUE LES GLENAN;Bretagne;Privé;290000371;2013;80;92.1;90.38;93.82;80;86.25;77;93;80;90;81;96;80;92.5;84;97
MAISON REPOS CONVALESCENCE ST JOSEPH QUIMPERLE;Bretagne;ESPIC/EBNL;290000413;2013;80;85.29;83.33;87.24;80;95;88;99;80;95;88;99;80;91.25;83;97
MAISON DE REPOS CONVALESCENCE KERAMPIR BOHARS;Bretagne;ESPIC/EBNL;290000686;2013;80;93.43;92;94.86;80;62.5;51;73;80;86.25;77;93;80;86.25;77;93
HÔPITAL LOCAL LE JEUNE ST RENAN;Bretagne;CH;290000751;2013;80;69.85;67.44;72.25;79;74.68;64;84;80;100;100;100;80;100;100;100
HÔTEL DIEU PONT-L'ABBE;Bretagne;ESPIC/EBNL;290000785;2013;80;84.53;83.14;85.92;55;5.45;1;15;80;91.25;83;97;80;61.25;50;72
CLINIQUE KER LENA;Bretagne;Privé;290000819;2013;80;81.61;79;84.22;80;85;75;92;80;100;100;100;80;77.5;67;86
CHM DE ROSCOFF SITE DE PERHARIDY;Bretagne;ESPIC/EBNL;290000975;2013;64;84.44;81.62;87.25;61;21.31;12;34;64;65.63;53;77;57;59.65;46;72
CENTRE CONVALESCENCE JEAN TANGUY ST YVI;Bretagne;ESPIC/EBNL;290002344;2013;80;84.9;82.86;86.93;80;80;70;88;80;96.25;89;99;80;93.75;86;98
CTRE REED FONCT DE TREBOUL;Bretagne;Privé;290003953;2013;80;93.75;92.03;95.47;80;43.75;33;55;80;92.5;84;97;80;77.5;67;86
CENTRE HOSPITALIER INTERCOMMUNAL DE CORNOUAILLE QUIMPER;Bretagne;CH;290020700;2013;79;89.17;87.13;91.2;76;84.21;74;92;79;86.08;76;93;78;55.13;43;66
CENTRE HOSPITALIER DES PAYS DE MORLAIX;Bretagne;CH;290021542;2013;80;82.42;79.76;85.09;80;77.5;67;86;80;56.25;45;67;80;82.5;72;90
CRF ET MAISON REPOS FINOSELLO;Corse;Privé;2A0000030;2013;80;80.37;77.88;82.86;80;55;43;66;80;86.25;77;93;80;96.25;89;99
MAISON DE CONVALESCENCE ILE DE BEAUTE;Corse;Privé;2A0000261;2013;80;67.02;65.24;68.8;80;83.75;74;91;80;70;59;80;80;96.25;89;99
C.H.S. DE CASTELLUCCIO;Corse;CH;2A0000386;2013;16;69.95;;;16;37.5;15;65;16;0;0;0;16;68.75;41;89
CENTE REED.FONCT. LES MOLINI;Corse;Privé;2A0002051;2013;80;92.77;90.94;94.6;80;91.25;83;97;80;85;75;92;80;85;75;92
MAIS.CONVAL.ET REGIME VALICELLI;Corse;Privé;2A0022554;2013;80;98.65;97.56;99.75;80;96.25;89;99;80;100;100;100;80;100;100;100
CENTRE HOSPITALIER BASTIA;Corse;CH;2B0000020;2013;62;94.29;92.91;95.68;60;98.33;91;99;62;100;100;100;62;1.61;0;9
MAISON DE CONVALES.LA PALMOLA;Corse;Privé;2B0000400;2013;80;89.89;87.27;92.51;80;87.5;78;94;80;45;34;57;80;18.75;11;29
