finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust
330000217;MAISON DE SANTE MARIE GALENE ASSOC DES DAMES DU CALVAIRE;330000217;MAISON DE SANTE MARIE GALENE;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330000332;HOPITAL SUBURBAIN DU BOUSCAT;330000332;HOPITAL SUBURBAIN DU BOUSCAT;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330000340;MAISON DE SANTE PROTESTANTE DE BORDEAUX BAGATELLE;330000340;M.S.P.BX. BAGATELLE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;84;75.35;B;4-Non calculable;84;75.86;84;83.71;84;83.34;84;68.76;84;60.68;84;67.79
330781204;CENTRE HOSPITALIER D''ARCACHON;330000555;CENTRE HOSPITALIER D'ARCACHON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;108;74.03;B;3-Amélioration;108;73.72;108;80.98;108;79.38;108;79.91;108;59.75;108;60.71
330781220;CENTRE HOSPITALIER DE LA HAUTE GIRONDE;330000571;CH DE LA HAUTE GIRONDE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;45;69.53;D;4-Non calculable;45;65.06;45;80.12;45;80.88;45;59.94;45;58.57;45;62.74
330027509;CENTRE HOSPITALIER SUD GIRONDE LANGON-LA REOLE;330000589;CH SUD GIRONDE - SITE LANGON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330781253;CENTRE HOSPITALIER DE LIBOURNE;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;117;69.18;D;2-Stable;117;67.19;117;79.26;117;77.85;117;66.72;117;50.72;117;58.38
330781261;CENTRE HOSPITALIER DE STE FOY LA GRANDE;330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;Nouvelle Aquitaine;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
330000662;INSTITUT BERGONIE CENTRE REGIONAL DE LUTTE CONTRE LE CANCER;330000662;INSTITUT BERGONIE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;71;78.91;A;3-Amélioration;71;73.96;71;87.58;71;88.47;71;72.5;71;73.62;71;70.63
330780040;NOUVELLE CLINIQUE BEL AIR;330780040;NOUVELLE CLINIQUE BEL AIR;Nouvelle Aquitaine;1- Obligatoire;1- Oui;225;78.72;A;2-Stable;225;78.82;225;83.64;225;85.7;225;79.52;225;65.3;225;70.19
330780081;CLINIQUE SAINT- AUGUSTIN;330780081;CLINIQUE SAINT- AUGUSTIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;243;73.19;C;4-Non calculable;243;75.53;243;82.56;243;81.47;243;68.62;243;54.34;243;61.77
330780115;SA CLINIQUE TIVOLI-DUCOS;330780115;CLINIQUE TIVOLI-DUCOS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;190;76.3;B;2-Stable;190;76.56;190;82.67;190;85.24;190;70.43;190;52.46;190;72.33
330780206;CLINIQUE D''ARCACHON;330780206;CLINIQUE D'ARCACHON;Nouvelle Aquitaine;1- Obligatoire;1- Oui;70;74.26;B;3-Amélioration;70;75.43;70;79.82;70;77.42;70;81.12;70;57.66;70;63.66
330780255;CLINIQUE CHIRURGICALE DU LIBOURNAIS;330780255;CLINIQUE CHIRURGICALE DU LIBOURNAIS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330780263;POLYCLINIQUE BORDEAUX RIVE DROITE - CLINIQ QUATRE PAVILLONS;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;320;73.79;C;2-Stable;320;73.39;320;81.83;320;81;320;73.15;320;61.34;320;61.04
330780271;CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC;330780271;CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;166;81.04;A;2-Stable;166;82.52;166;86.48;166;85.03;166;82.24;166;68.71;166;71.77
330780354;POLYCLINIQUE DE BORDEAUX CAUDERAN LES PINS FRANCS;330780354;POLYCLINIQUE BORDEAUX-CAUDERAN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;38;71.77;C;4-Non calculable;38;74.4;38;77.89;38;77.27;38;71.61;38;65.97;38;57.08
330780479;POLYCLINIQUE BORDEAUX NORD AQUITAINE;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;644;72.15;C;2-Stable;644;70.46;644;79.62;644;80.33;644;71.47;644;61.74;644;60.78
330780487;CLINIQUE OPHTALMOLOGIQUE THIERS;330780487;CLINIQUE OPHTALMOLOGIQUE THIERS;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330780495;CLINIQUE MUTUALISTE DU MEDOC;330780495;CLINIQUE MUTUALISTE DU MEDOC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330780503;HOPITAL PRIVE SAINT-MARTIN;330780503;HOPITAL PRIVE SAINT-MARTIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;479;76.48;B;2-Stable;479;75.61;479;84;479;84.91;479;75.46;479;52.97;479;69.13
330780511;CLINIQUE SAINTE-ANNE;330780511;CLINIQUE SAINTE-ANNE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;38;81.19;A;4-Non calculable;38;83.05;38;86.34;38;84.62;38;79.97;38;72.8;38;72.48
330780529;CLINIQUE MUTUALISTE DE PESSAC;330780529;CLINIQUE MUTUALISTE DE PESSAC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;55;74.07;B;4-Non calculable;55;74.59;55;82.46;55;82.19;55;71.69;55;53.24;55;63.17
330780537;CENTRE MEDICO-CHIRURGICAL WALLERSTEIN;330780537;CENTRE MEDICO-CHIRURGICAL WALLERSTEIN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;88;77.52;A;3-Amélioration;88;78.42;88;83.58;88;83.91;88;74.51;88;73.67;88;66.45
330781303;HOPITAL D''INSTRUCTION DES ARMEES ROBERT PICQUE;330781303;HIA ROBERT PICQUE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781337;HOPITAL XAVIER ARNOZAN - CHU;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781352;HOPITAL SAINT-ANDRE - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;207;72.26;C;2-Stable;207;70.15;207;80.59;207;78.62;207;69.57;207;55.95;207;65.75
330781402;POLYCLINIQUE DE BORDEAUX-TONDU;330781402;POLYCLINIQUE DE BORDEAUX-TONDU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;46;71.3;C;4-Non calculable;46;67.93;46;78.85;46;80.06;46;61.72;46;55.45;46;68.98
330782582;POLYCLINIQUE JEAN VILLAR;330782582;POLYCLINIQUE JEAN VILLAR;Nouvelle Aquitaine;1- Obligatoire;1- Oui;531;73.73;C;2-Stable;531;73.05;531;82.44;531;82.16;531;66.99;531;59.66;531;65.34
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330783648;HOPITAL HAUT-LEVEQUE - CHU;Nouvelle Aquitaine;1- Obligatoire;1- Oui;104;74.49;B;4-Non calculable;104;74.77;104;82.49;104;80.23;104;75.5;104;57.85;104;63.93
330781196;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;330802752;CENTRE JEAN ABADIE - CHU;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780055;CENTRE HOSPITALIER BEZIERS;340000033;CH BEZIERS;Occitanie;1- Obligatoire;1- Oui;63;69.41;D;4-Non calculable;63;69.13;63;78.64;63;77.68;63;66.38;63;47.52;63;62.34
340000207;INSTITUT REGIONAL DU CANCER DE MONTPELLIER;340000207;INSTITUT REGIONAL CANCER MONTPELLIER;Occitanie;1- Obligatoire;1- Oui;383;78.43;A;2-Stable;383;82.09;383;86.33;383;82.66;383;77.87;383;65.53;383;64.8
340011295;LES HOPITAUX DU BASSIN DE THAU;340000223;HOPITAL ST CLAIR HBT SETE;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780535;CENTRE HOSPITALIER DE LUNEL;340000231;CH POLE DE SANTE DE LUNEL;Occitanie;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;Occitanie;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340009885;POLYCLINIQUE CHAMPEAU;340009885;POLYCLINIQUE CHAMPEAU;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340015502;CLINIQUE DU MILLENAIRE (LAVALETTE SAINT ROCH RECH);340015502;CLINIQUE DU MILLENAIRE;Occitanie;1- Obligatoire;1- Oui;626;72.9;C;2-Stable;626;73.02;626;80.14;626;79.3;626;75.29;626;60.11;626;60.2
340015965;POLYCLINIQUE SAINT PRIVAT;340015965;POLYCL ST PRIVAT;Occitanie;1- Obligatoire;1- Oui;188;75.95;B;4-Non calculable;188;80.1;188;80.74;188;79.72;188;79.22;188;63.98;188;62.49
340022979;POLYCLINIQUE ST ROCH;340022979;POLYCLINIQUE ST ROCH;Occitanie;2- Facultatif;1- Oui;804;71.8;C;4-Non calculable;804;72.24;804;78.52;804;80.15;804;77.2;804;54.94;804;56.13
340780139;CLINIQUE D''OTOLOGIE DU DOCTEUR JEAN CAUSSE;340780139;CLINIQUE DU DR JEAN CAUSSE;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780147;POLYCLINIQUE DES TROIS VALLEES;340780147;POLYCLINIQUE DES TROIS VALLEES;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780154;POLYCLINIQUE PASTEUR;340780154;POLYCLINIQUE PASTEUR;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340011295;LES HOPITAUX DU BASSIN DE THAU;340780436;HOPITAL ST LOUP HBT AGDE;Occitanie;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
340780568;CLINIQUE DU SOUFFLE LA VALLONIE;340780568;CLINIQUE DU SOUFFLE LA VALLONIE;Occitanie;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780634;CLINIQUE SAINT JEAN;340780634;CLINIQUE ST JEAN;Occitanie;1- Obligatoire;1- Oui;168;74.94;B;3-Amélioration;168;71.37;168;82.85;168;83.58;168;72.09;168;60.92;168;67.47
340780642;CLINIQUE MEDICO CHIRURGICALE BEAU SOLEIL;340780642;CLINIQUE BEAU SOLEIL;Occitanie;1- Obligatoire;1- Oui;171;73.23;C;4-Non calculable;171;72.24;171;80.81;171;82.43;171;64.64;171;60.03;171;67.47
340780667;CLINIQUE DU PARC;340780667;CLINIQUE DU PARC;Occitanie;1- Obligatoire;1- Oui;189;74.33;B;3-Amélioration;189;74.44;189;81.86;189;82.05;189;70.68;189;57.17;189;65.35
340780675;CLINIQUE CLEMENTVILLE;340780675;CLINIQUE CLEMENTVILLE;Occitanie;1- Obligatoire;1- Oui;524;72.82;C;2-Stable;524;72.64;524;80.39;524;80.93;524;76.6;524;52.58;524;59.3
340780717;CLINIQUE SAINT LOUIS;340780717;CLINIQUE ST LOUIS;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780725;CLINIQUE VIA DOMITIA;340780725;CLINIQUE VIA DOMITIA;Occitanie;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
340780741;POLYCLINIQUE SAINTE THERESE;340780741;POLYCLINIQUE STE THERESE;Occitanie;1- Obligatoire;1- Oui;87;74.89;B;4-Non calculable;87;72.37;87;81.42;87;82.43;87;76.42;87;70.79;87;62.64
340781608;CLINIQUE DU MAS DE ROCHET;340781608;CLINIQUE DU MAS DE ROCHET;Occitanie;2- Facultatif;1- Oui;47;75.09;B;4-Non calculable;47;80.46;47;80.36;47;77.78;47;81.14;47;56.25;47;59.64
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340782036;HOPITAL ST ELOI CHU MONTPELLIER;Occitanie;1- Obligatoire;1- Oui;46;69.59;D;4-Non calculable;46;66.7;46;78.35;46;73.87;46;69.98;46;48.36;46;64.87
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;Occitanie;1- Obligatoire;1- Oui;42;74.36;B;4-Non calculable;42;70.9;42;83.35;42;85.85;42;72.29;42;47.8;42;65.62
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;Occitanie;1- Obligatoire;1- Oui;142;70.62;D;4-Non calculable;142;70.12;142;80.12;142;77.03;142;68.58;142;45.41;142;63.38
340780477;CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;Occitanie;1- Obligatoire;1- Oui;99;71.8;C;4-Non calculable;99;72.35;99;79.22;99;79.19;99;67.8;99;46.75;99;67.11
350000063;HOPITAL ST THOMAS DE VILLENEUVE BAIN;350000063;HOPITAL ST THOMAS DE VILLENEUVE BAIN;Bretagne;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
350000121;CHP SAINT GREGOIRE;350000121;CHP SAINT GREGOIRE;Bretagne;1- Obligatoire;1- Oui;991;75.09;B;2-Stable;991;76.41;991;81.26;991;81.44;991;72.49;991;58.32;991;66.81
350000139;CLINIQUE MUTUALISTE LA SAGESSE RENNES;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;Bretagne;1- Obligatoire;1- Oui;482;75.92;B;2-Stable;482;73.35;482;83.93;482;81.8;482;71.74;482;67.01;482;69.29
350000022;CENTRE HOSPITALIER DE SAINT MALO - HOPITAL BROUSSAIS;350000147;CENTRE HOSPITALIER SAINT-MALO;Bretagne;1- Obligatoire;1- Oui;64;71.78;C;2-Stable;64;70.31;64;81.61;64;79.35;64;72.02;64;46.35;64;62.55
350000030;CENTRE HOSPITALIER DE FOUGERES;350000154;C.H FOUGERES;Bretagne;1- Obligatoire;1- Oui;81;73.66;C;2-Stable;81;72.91;81;83.06;81;78.31;81;72.3;81;63.42;81;62.92
350000048;CENTRE HOSPITALIER DE REDON;350000162;CHIRC SITE REDON;Bretagne;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
350000055;CENTRE HOSPITALIER DE VITRE;350000188;CENTRE HOSPITALIER   VITRE;Bretagne;1- Obligatoire;1- Oui;113;74.16;B;2-Stable;113;75.75;113;81.38;113;78.5;113;70.87;113;63.3;113;64.58
350000196;CLINIQUE DE LA COTE D''EMERAUDE;350000196;CLINIQUE DE LA COTE D'EMERAUDE;Bretagne;1- Obligatoire;1- Oui;73;78.81;A;4-Non calculable;73;79.35;73;83.88;73;85.15;73;77.53;73;62.45;73;72.18
350000204;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;350000204;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;Bretagne;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
350005179;CHRU RENNES;350000741;CHRU RENNES SITE PONTCHAILLOU;Bretagne;1- Obligatoire;1- Oui;154;71.88;C;4-Non calculable;154;73.36;154;81.61;154;80.4;154;62.07;154;54.53;154;62.73
350002192;POLYCLINIQUE ST LAURENT;350002192;POLYCLINIQUE ST LAURENT;Bretagne;1- Obligatoire;1- Oui;118;77.6;A;2-Stable;118;78;118;85.46;118;84.06;118;79;118;61.94;118;66.73
350002812;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER EUGENE MARQUIS;350002812;C.R.L.C.C. EUGENE MARQUIS;Bretagne;1- Obligatoire;1- Oui;97;79.09;A;2-Stable;97;78.89;97;88.49;97;85.62;97;77.72;97;59.97;97;69.55
350005146;HOPITAL PRIVE SEVIGNE;350005146;HOPITAL PRIVE SEVIGNE;Bretagne;1- Obligatoire;1- Oui;128;76.29;B;4-Non calculable;128;75.45;128;83.46;128;83.11;128;72.67;128;63.75;128;68.56
350005179;CHRU RENNES;350007084;CHRU RENNES SITE HOPITAL SUD;Bretagne;1- Obligatoire;1- Oui;364;72.08;C;2-Stable;364;72.96;364;80.66;364;78.75;364;62.56;364;57.67;364;65.95
360000046;CH LA TOUR BLANCHE D''ISSOUDUN;360000038;CH LA TOUR BLANCHE -  ISSOUDUN;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
360000129;CLINIQUE SAINT FRANCOIS;360000129;CLINIQUE SAINT FRANCOIS;Centre-Val de Loire;1- Obligatoire;1- Oui;51;73.86;C;4-Non calculable;51;71;51;81.75;51;80.69;51;74.1;51;60.63;51;65.35
360000053;CH DE CHATEAUROUX;360000137;CH CHATEAUROUX;Centre-Val de Loire;1- Obligatoire;1- Oui;38;65.4;D;2-Stable;38;64.24;38;74.67;38;70.52;38;65.21;38;52.88;38;54.27
360000061;CH DE LA CHATRE;360000145;CH LA CHATRE;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
360000053;CH DE CHATEAUROUX;360000160;CH DU BLANC;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370000051;CLINIQUE JEANNE D''ARC - ST BENOIT;370000051;CLINIQUE JEANNE D'ARC - ST BENOIT;Centre-Val de Loire;1- Obligatoire;1- Oui;41;77.34;A;4-Non calculable;41;76.7;41;83.2;41;85.79;41;75.41;41;56.74;41;71.25
370000085;CLINIQUE SAINT-GATIEN - TOURS;370000085;CLINIQUE SAINT-GATIEN - TOURS;Centre-Val de Loire;1- Obligatoire;1- Oui;215;73.98;C;4-Non calculable;215;74.71;215;82.2;215;82.61;215;68.81;215;56.81;215;65.33
370000093;CLINIQUE DE L''ALLIANCE - ST CYR/LOIRE;370000093;CLINIQUE DE L'ALLIANCE - ST CYR/LOIRE;Centre-Val de Loire;1- Obligatoire;1- Oui;224;74.32;B;4-Non calculable;224;74.76;224;82.02;224;82.29;224;71.44;224;55.79;224;64.8
370000481;CHU DE TOURS;370000499;CHRU CLOCHEVILLE - TOURS;Centre-Val de Loire;1- Obligatoire;1- Oui;372;69.52;D;2-Stable;372;70.01;372;77.7;372;74.78;372;62.42;372;57.54;372;61.49
370000606;CENTRE HOSPITALIER DU CHINONAIS;370000531;CH DU CHINONAIS;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370000564;CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT;370000580;CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370000481;CHU DE TOURS;370000861;CHRU BRETONNEAU - TOURS;Centre-Val de Loire;1- Obligatoire;1- Oui;706;72.23;C;1-Diminution;706;70.24;706;81.36;706;79.54;706;72.72;706;55.27;706;61.69
370000564;CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370000614;CH DE LOCHES;370000903;CH PAUL MARTINAIS - LOCHES;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370002701;ETABLISSEMENTS POUR PERSONNES AGEES(MOYEN,LONG SEJOUR,M. R.);370001109;CH DE LUYNES - ET;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
370000481;CHU DE TOURS;370004467;CHRU TROUSSEAU - CHAMBRAY;Centre-Val de Loire;1- Obligatoire;1- Oui;544;72.24;C;2-Stable;544;72.71;544;81.77;544;80.24;544;66.98;544;56.21;544;62.01
370007569;POLE SANTE LEONARD DE VINCI;370007569;PÔLE SANTÉ LÉONARD DE VINCI;Centre-Val de Loire;1- Obligatoire;1- Oui;378;76.31;B;2-Stable;378;77.43;378;81.53;378;83.35;378;77.32;378;60.39;378;66.01
380780031;CH DE LA MURE;380000026;CH DE LA MURE;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380780049;CENTRE HOSPITALIER PIERRE OUDOT;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;100;71.9;C;3-Amélioration;100;69.06;100;81.39;100;76.93;100;74.55;100;61.64;100;59.86
380780056;CH YVES TOURAINE;380000042;CH YVES TOURAINE;Auvergne-Rhône-Alpes;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
380780072;CH DE RIVES;380000059;CH DE RIVES;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380780080;CHU GRENOBLE ALPES;380000067;HOPITAL NORD - CHU GRENOBLE ALPES;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;277;71.25;C;3-Amélioration;277;71.32;277;79.96;277;79.15;277;67.01;277;50.08;277;63.08
380780171;CH DE SAINT MARCELLIN;380000091;CH DE SAINT MARCELLIN;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380780213;CH DE SAINT LAURENT DU PONT;380000109;CH DE SAINT LAURENT DU PONT;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380781435;CENTRE HOSPITALIER LUCIEN HUSSEL;380000174;CH LUCIEN HUSSEL;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;67;68.78;D;2-Stable;67;67.58;67;76.51;67;75.7;67;67.58;67;48.9;67;61.38
380784751;CH DE VOIRON;380000406;CH DE VOIRON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;166;72.22;C;2-Stable;166;65.9;166;82.12;166;81;166;69.72;166;66.08;166;62.69
380012658;GROUPE HOSPITALIER MUTUALISTE DE GRENOBLE;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;444;73.72;C;2-Stable;444;72.95;444;81.93;444;81.29;444;72.56;444;56.11;444;63.88
380020123;CLINIQUE DES COTES DU RHONE;380020123;CLINIQUE DES CÔTES DU RHÔNE;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380780197;CLINIQUE SAINT VINCENT DE PAUL MATERNITE CATHOLIQUE;380780197;CLINIQUE ST VINCENT DE PAUL BOURGOIN;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;330;72.55;C;2-Stable;330;73.63;330;79.76;330;79.22;330;76.1;330;57.87;330;58.23
380780288;NOUVELLE CLINIQUE DE CHARTREUSE;380780288;NOUVELLE CLINIQUE DE CHARTREUSE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;57;76.04;B;3-Amélioration;57;76.25;57;83.12;57;82.78;57;73.92;57;65.41;57;65.15
380780080;CHU GRENOBLE ALPES;380782722;HOPITAL SUD - CHU GRENOBLE ALPES;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
380785956;CLINIQUE DES CEDRES;380785956;CLINIQUE DES CEDRES;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;311;78.44;A;2-Stable;311;78.36;311;84.44;311;84.97;311;76.9;311;67.36;311;69.52
380786442;CLINIQUE BELLEDONNE ST-MARTIN-D''HERES;380786442;CLINIQUE BELLEDONNE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;60;73.48;C;1-Diminution;60;73.56;60;79.42;60;79.21;60;73.05;60;68.25;60;60.43
390780146;CENTRE HOSPITALIER JURA SUD;390000040;CH LONS;Bourgogne-Franche-Comté;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
390780161;CH LOUIS JAILLON SAINT CLAUDE;390000065;CH LOUIS JAILLON SAINT CLAUDE;Bourgogne-Franche-Comté;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
390780609;CENTRE HOSPITALIER L PASTEUR DOLE;390000222;CH LOUIS PASTEUR DOLE;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;175;71.8;C;2-Stable;175;71.93;175;80.95;175;79.32;175;68.11;175;64.14;175;57.58
390780559;CLINIQUE DU JURA;390780559;CLINIQUE DU JURA;Bourgogne-Franche-Comté;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
390780575;HOSPITALIA MUTUALITE POLYCLINIQUE DU PARC;390780575;HOSPITALIA MUTUALITE PDP;Bourgogne-Franche-Comté;1- Obligatoire;1- Oui;42;78.3;A;4-Non calculable;42;77.73;42;82.49;42;84;42;78.97;42;76.31;42;68.96
390781193;UNITE DE SOINS PLURIDISCIPLINAIRES DE BLETTERANS;390781193;MAISON SOINS ADLCA BLETTERANS;Bourgogne-Franche-Comté;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
400780193;CENTRE HOSPITALIER DE DAX COTE D''ARGENT;400000105;CENTRE HOSPITALIER DAX;Nouvelle Aquitaine;1- Obligatoire;1- Oui;189;72.73;C;2-Stable;189;71.3;189;80.2;189;78.04;189;70.11;189;66.78;189;63.48
400011177;CENTRE HOSPITALIER DE MONT DE MARSAN;400000139;CENTRE HOSPITALIER DE MONT DE MARSAN;Nouvelle Aquitaine;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
400780342;CAPIO CLINIQUE JEAN LE BON;400780342;CAPIO CLINIQUE JEAN LE BON;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
400780359;CLINIQUE DES LANDES;400780359;CLINIQUE DES LANDES;Nouvelle Aquitaine;1- Obligatoire;1- Oui;94;80.16;A;4-Non calculable;94;83.25;94;85.97;94;83.47;94;80.99;94;58.74;94;72.95
